sample	title	characteristics	group	series
GSM5176138	N2	disease state: NORMAL CARTILAGE	Normal	GSE169077
GSM5176139	N4	disease state: NORMAL CARTILAGE	Normal	GSE169077
GSM5176140	N6	disease state: NORMAL CARTILAGE	Normal	GSE169077
GSM5176141	N7	disease state: NORMAL CARTILAGE	Normal	GSE169077
GSM5176142	N8	disease state: NORMAL CARTILAGE	Normal	GSE169077
GSM5176143	OA2	disease state: LATE STAGE OA CARTILAGE	OA	GSE169077
GSM5176144	OA3	disease state: LATE STAGE OA CARTILAGE	OA	GSE169077
GSM5176145	OA8	disease state: LATE STAGE OA CARTILAGE	OA	GSE169077
GSM5176146	OA9	disease state: LATE STAGE OA CARTILAGE	OA	GSE169077
GSM5176147	OA10	disease state: LATE STAGE OA CARTILAGE	OA	GSE169077
GSM5176148	OA11	disease state: LATE STAGE OA CARTILAGE	OA	GSE169077
