sample	group	series	tissue
GSM172405	Control	GSE7158	monocyte
GSM172406	Control	GSE7158	monocyte
GSM172407	Control	GSE7158	monocyte
GSM172408	Control	GSE7158	monocyte
GSM172409	Control	GSE7158	monocyte
GSM172410	Control	GSE7158	monocyte
GSM172411	Control	GSE7158	monocyte
GSM172412	Control	GSE7158	monocyte
GSM172413	Control	GSE7158	monocyte
GSM172414	Control	GSE7158	monocyte
GSM172415	Control	GSE7158	monocyte
GSM172416	Control	GSE7158	monocyte
GSM172417	Control	GSE7158	monocyte
GSM172418	Control	GSE7158	monocyte
GSM172419	OP	GSE7158	monocyte
GSM172420	OP	GSE7158	monocyte
GSM172421	OP	GSE7158	monocyte
GSM172422	OP	GSE7158	monocyte
GSM172423	OP	GSE7158	monocyte
GSM172424	OP	GSE7158	monocyte
GSM172425	OP	GSE7158	monocyte
GSM172426	OP	GSE7158	monocyte
GSM172427	OP	GSE7158	monocyte
GSM172428	OP	GSE7158	monocyte
GSM172429	OP	GSE7158	monocyte
GSM172430	OP	GSE7158	monocyte
