gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cohort,disease
WT1-AS,1.27281166936993,3.16969568220082,4.60663067674425,6.64349953377923e-05,0.652495305969016,-3.0090958561453,GSE7158,OP
CXCL10,0.984932329420928,6.71626840599215,4.54888485673071,8.03550046470958e-05,0.652495305969016,-3.04416514542115,GSE7158,OP
LAMB3,0.994815074225547,2.67752653015209,4.41440939044829,0.000114613688153512,0.652495305969016,-3.10051416052706,GSE7158,OP
STAT1,0.531244975222195,9.38383824252526,4.31545001269969,0.000151566098728617,0.652495305969016,-3.14823872843329,GSE7158,OP
ARMCX4,0.841525737278541,4.52885514488888,4.20166308199082,0.000208727841178108,0.652495305969016,-3.20361787693506,GSE7158,OP
ZFP69B,-1.42712279631794,2.98166481077393,-4.19983072999934,0.000209803591914675,0.652495305969016,-3.20451381567056,GSE7158,OP
GBP1,0.82777294599135,8.8335288682822,4.22074824220457,0.000213882797554817,0.652495305969016,-3.21756765581891,GSE7158,OP
SCARB2,0.323661068297064,8.26674489409836,4.06452628512444,0.000306293474887603,0.666248525547205,-3.27100619239503,GSE7158,OP
DTD1-AS1,1.26207758946052,3.45867855476018,4.05020694850234,0.000318759786454781,0.666248525547205,-3.27807961489958,GSE7158,OP
IFNA4,1.23195077336022,3.22513371301108,4.03938745507975,0.000328507988265586,0.666248525547205,-3.28342853393485,GSE7158,OP
CCNYL2,-1.20224922134516,3.07317385770501,-4.00872208517536,0.000357753131811252,0.666248525547205,-3.29860860946242,GSE7158,OP
CCND2,-0.577345879554296,6.41782763926559,-3.9824473816232,0.000384829071119936,0.666248525547205,-3.31163775460869,GSE7158,OP
MT1HL1,0.674659673618658,7.19697269458323,3.96350572678288,0.000405583274741919,0.666248525547205,-3.32104301308978,GSE7158,OP
KIR2DL5A,-0.988753113028871,5.11916253200769,-3.90323315977607,0.000479180120134542,0.730920818962367,-3.35103623334071,GSE7158,OP
STARD13-AS,-0.789263910714642,4.90783901184002,-3.71841666958799,0.000795802125154364,0.94624455191332,-3.44353366617402,GSE7158,OP
SLC14A1,-1.06837035989722,3.39438077722679,-3.7070483304717,0.000820848594263294,0.94624455191332,-3.4492445723409,GSE7158,OP
MAGI2-AS3,0.881009584553351,6.0018828667771,3.69538555791804,0.000847339843057515,0.94624455191332,-3.4551054620559,GSE7158,OP
CD200,-1.06412270584421,3.09492549312869,-3.64354592270221,0.000975490990453279,0.94624455191332,-3.48117960444874,GSE7158,OP
CLDN9,0.983932843240978,4.43567389544675,3.64007627720199,0.000984709699332753,0.94624455191332,-3.482925989629,GSE7158,OP
PLSCR1,0.456923382730917,9.22591354867928,3.6255639491889,0.00102419309880688,0.94624455191332,-3.49023202274325,GSE7158,OP
FCGR1A,0.537043591201466,7.22361135318237,3.61919848196694,0.00104199215183127,0.94624455191332,-3.49343736734228,GSE7158,OP
LRAT,-1.05711497392172,2.56935805090253,-3.57565499830581,0.00117204610449716,0.94624455191332,-3.51537450042587,GSE7158,OP
LINC00700,-1.01126866238075,3.53476346894114,-3.55704460594944,0.00123230812023799,0.94624455191332,-3.52475532363542,GSE7158,OP
NYAP2,-1.1688887350183,4.62598395503279,-3.54773418083973,0.00126357110534892,0.94624455191332,-3.52944929917616,GSE7158,OP
