gene,meta_Z,meta_P,meta_FDR,mean_logFC,n_consistent
TNFAIP6,9.21418122130255,3.13662940896393e-20,3.38818708756283e-16,2.00102571399104,4
DDIT4,-8.8104152395305,1.24683134752939e-18,6.73413610800625e-15,-2.26890211307395,4
CD55,8.72652621145726,2.62614505626296e-18,9.45587296591748e-15,1.04206199737306,4
CCNB1IP1,-8.6830008970816,3.85461348100606e-18,1.04093837054569e-14,-0.895570791302118,4
OGN,8.65727881629878,4.83159856295008e-18,1.04381855353973e-14,1.48094250000873,4
CRLF1,8.47709191464953,2.30892533682339e-17,4.15683524806104e-14,1.37413265456239,4
STC2,-8.17377540769646,2.9888597511673e-16,4.6122375760156e-13,-1.28728327374284,4
COL5A1,8.07228945732929,6.89920753740147e-16,9.31565497737633e-13,1.11870604742818,4
CRTAC1,7.99940838085897,1.25018432429992e-15,1.50049900789864e-12,0.887233398708483,4
ADM,-7.94757150024311,1.90203231696319e-15,2.05457530878364e-12,-2.04099865793249,4
NGF,7.82786139947981,4.96238554955209e-15,4.87306260966015e-12,1.57675598274946,4
ALDH1L1,-7.72797465528767,1.09271092503432e-14,9.83621951018396e-12,-1.1830457717259,4
TSPAN2,7.66212838694101,1.82876683283242e-14,1.51956456371199e-11,1.0960518687267,3
TNC,7.64548244229399,2.08163356478343e-14,1.60612898334219e-11,1.82144888864679,4
IGFBP1,7.6167850432935,2.60071897363621e-14,1.87286442354789e-11,1.8276072924417,4
MEG3,-7.60579981161532,2.83147287484165e-14,1.91159812462747e-11,-1.0364145147823,4
HTRA1,7.53209369654763,4.99331054072566e-14,3.17280826240698e-11,1.12714825869359,4
NT5E,7.44774915694912,9.4946124564329e-14,5.45037054167e-11,0.887161113631844,4
FAP,7.44647334504419,9.58683950117848e-14,5.45037054167e-11,1.2311297331573,3
COL15A1,7.39339853566852,1.43122672687433e-13,7.73005555184826e-11,0.88804487527737,3
BPGM,7.38592966317775,1.5139181389297e-13,7.78730654129458e-11,0.661912627614602,4
ETS2,-7.36376223917243,1.78798034971881e-13,8.40687262701535e-11,-0.974947885068196,4
DYSF,7.36361004536252,1.79002101852762e-13,8.40687262701535e-11,0.747088304417373,4
SERPINE2,7.25576188687482,3.99407179172812e-13,1.79766514559363e-10,1.05684426044337,4
TGFBI,7.12544927169032,1.03741735554017e-12,4.48247290981797e-10,1.80490916963272,4
DDIT3,-7.11153971674096,1.14755426723681e-12,4.7676466133431e-10,-1.00777468951208,4
CISH,-7.07723434225373,1.47059737404618e-12,5.8834788275729e-10,-0.977313749679316,3
S100A4,7.07132388006214,1.53462487625278e-12,5.92036354045806e-10,1.51666015769657,4
LAMB3,7.04031667429588,1.91803412745806e-12,7.14434642924205e-10,0.784105185678444,4
BFSP1,7.01008214285625,2.38178247326953e-12,8.5760047587525e-10,0.875916513071273,4
CLIC3,6.99680579736117,2.61863857912607e-12,9.12468836507091e-10,1.01458675528537,4
CXCL14,6.97615160541035,3.03375350294839e-12,1.02408141683902e-09,1.04157191323572,3
HOMER2,6.88647331282062,5.71924835074729e-12,1.87210062681128e-09,0.740547478426278,4
