gene,meta_Z,meta_P,meta_FDR,mean_logFC,n_consistent
NCOA1,5.506324579449,3.66402710153981e-08,0.000477752493769776,0.135178261653224,2
RIPK2,5.15996039487038,2.47002089345597e-07,0.00111809436813758,0.652780248753929,3
TRIM44,5.15234441040501,2.57250027180976e-07,0.00111809436813758,0.0779319735703508,2
VHL,-5.09376095865375,3.51029311631641e-07,0.00114426779859124,-0.523098427109704,3
NUDT6,-4.71997960799862,2.35868287671877e-06,0.00492821071148417,-0.536190321120768,3
SRP19,-4.70154110997158,2.58205264577099e-06,0.00492821071148417,-0.348679643497883,3
FCGR2A,4.69656622797692,2.64571477723669e-06,0.00492821071148417,0.32939120079696,3
CBLL1,-4.62739622448392,3.7029167129222e-06,0.00518670162664278,-0.480806590363939,3
RFC5,-4.61734739076733,3.88676316499374e-06,0.00518670162664278,-0.568816555481718,3
MATN4,-4.61253700537302,3.97783697111955e-06,0.00518670162664278,-0.323393314310027,3
HLA-DMB,4.59143974975612,4.40198725692688e-06,0.00521414315284032,0.229396083267411,3
SFSWAP,4.56939637809372,4.89130928610349e-06,0.00521414315284032,0.186654846595919,3
WT1-AS,4.55661139283169,5.19854751030939e-06,0.00521414315284032,0.188963665570274,2
RPL13A,4.49405040906774,6.98810746133017e-06,0.00650842379916315,0.0367553855517694,2
LGALS3BP,4.45905562466045,8.23215570326168e-06,0.00715593854765527,0.990123043055969,3
SGPL1,-4.43365927688328,9.26470043689184e-06,0.00755015181228954,-0.223305200733468,3
GOLPH3,-4.39246431787824,1.12073028337595e-05,0.00849547582710844,-0.264746569271832,3
UBQLN2,-4.38258788507108,1.17277831803016e-05,0.00849547582710844,-0.208101752471385,3
XDH,4.34070161744553,1.42028480832468e-05,0.00974689137670819,0.430817735812794,3
SMC1A,-4.32702805213372,1.51134719715442e-05,0.00985322805184822,-0.284710657377138,3
METTL4,4.30357908513122,1.68060817869478e-05,0.0104349762104768,0.0330721513644464,2
CBX5,-4.27401796138425,1.9198156008787e-05,0.0113783980090261,-0.321364829222276,3
NAP1L2,-4.24870047376374,2.15014178758381e-05,0.0114133334702696,-0.924681493992393,3
SCNM1,4.24546161484125,2.181438527756e-05,0.0114133334702696,0.197662545636306,3
GATAD2A,-4.24017961672793,2.23340999930449e-05,0.0114133334702696,-0.386100982566304,3
SPMAP2,4.2359534578231,2.27583917652435e-05,0.0114133334702696,0.540892201505116,3
IREB2,-4.22101179163229,2.43208212735435e-05,0.0116094872057226,-0.355333429457301,3
HIRA,-4.215430115566,2.49302585904006e-05,0.0116094872057226,-0.693736355990977,3
YTHDF2,-4.1944126349701,2.73579567421797e-05,0.0121151211647699,-0.264913367147323,3
XPO7,4.19017166702872,2.78743488720836e-05,0.0121151211647699,0.340580401190948,2
CBR1,4.17225481905764,3.01600064927902e-05,0.0126328670203056,0.329818916996947,3
ANKH,-4.16596903744822,3.1003278215337e-05,0.0126328670203056,-0.370817131538296,3
FOXO3,4.14616732840544,3.38086796684856e-05,0.0128311027098051,0.0316047181953454,2
BBS9,4.14552173453834,3.39040837523432e-05,0.0128311027098051,0.435047147354168,3
MSN,-4.14191399263769,3.44419506743752e-05,0.0128311027098051,-0.157269149907963,3
ACLY,-4.10969714432114,3.96178363396867e-05,0.0138555625224879,-0.189159613736666,3
CRYBG1,-4.10372121364457,4.0655734055605e-05,0.0138555625224879,-0.559457497001004,3
ARMH3,4.10221438692954,4.09214835845208e-05,0.0138555625224879,0.37436928914228,3
HNRNPU,-4.09543287166445,4.2138031412092e-05,0.0138555625224879,-0.254858356827673,3
PIGQ,4.09342377444524,4.25049851138518e-05,0.0138555625224879,0.48940184289202,3
STMN4,4.07999767837049,4.50361505726509e-05,0.0143225943247999,0.187432478989552,3
EGFR,4.06731403765107,4.75581334852436e-05,0.014764535774145,0.526453663026392,2
NCKAP1L,-4.05819936932552,4.94525418933914e-05,0.0149956207848356,-0.393592957184649,3
GSAP,4.03847033654935,5.3800895293557e-05,0.0159434062211975,0.27344693094442,3
SPAG11B,4.0289880248937,5.60174714142537e-05,0.0160556147647637,0.255089720455808,3
TRAP1,4.02637948733213,5.66422485757442e-05,0.0160556147647637,0.396996159691011,3
DPP8,4.01540739089358,5.93431979879219e-05,0.0164333007104386,0.0166203930987903,2
LARP4B,-4.01087038379614,6.04953166731384e-05,0.0164333007104386,-0.203820092498324,3
NDUFC1,-4.00079165103278,6.31309251532784e-05,0.0167992680219101,-0.118367496532507,3
ZEB2,-3.99113955186759,6.5756571005773e-05,0.0171022732633021,-0.25513105840832,3
KDM2A,-3.98526959752184,6.74035526688512e-05,0.0171022732633021,-0.395196586908032,3
LAIR1,-3.97839136829412,6.93830985210153e-05,0.0171022732633021,-0.391388059628658,3
ELMO2,-3.9779359023743,6.95161042223341e-05,0.0171022732633021,0.0449728359495122,2
CYP2B7P,-3.96243744748452,7.41884482823925e-05,0.017913762539891,-0.350555614865281,3
TK2,-3.94803730340698,7.87945289345574e-05,0.0185799549383,-0.455082343109749,3
RAB40C,-3.94500793251376,7.97973369541223e-05,0.0185799549383,-0.209806760046157,3
RPL30,-3.92152021454577,8.79920650250337e-05,0.019929618526815,-0.0738342364881,3
FUT6,3.91972298222972,8.86508071596956e-05,0.019929618526815,0.547934331714422,3
TENT4A,3.90585210157449,9.38939295291869e-05,0.0207505584259503,0.061428616772913,2
GLT8D2,3.89042048441127,0.000100070665426733,0.021479029880602,0.0807251708054167,2
ITGA6,-3.88941836414722,0.000100484762843525,0.021479029880602,-0.595735121156176,3
POGLUT1,3.88181026591835,0.000103681759618652,0.0217294657912067,-0.180567510518693,2
NENF,3.87876210194113,0.000104989366120563,0.0217294657912067,0.187632332830184,3
H2BC17,3.87065426020085,0.000108543645279158,0.0221140717311709,0.333216199063593,2
TNFRSF21,3.81407836260161,0.000136692093230106,0.0274204339019593,0.30562043273093,3
MAP1LC3B,3.80952015205578,0.000139236758133158,0.0275076983227008,0.216410086396698,3
VPS35,3.76365608679622,0.000167447129801974,0.0325872108281782,-0.110935656419754,2
TXLNG,-3.75764993941677,0.000171516595228018,0.0328883071349724,-0.203540281538549,3
SLC35D2,-3.74746148995529,0.000178633251447907,0.0330733436584705,-0.100727853504718,2
CTNNB1,-3.74691606690797,0.000179021953821585,0.0330733436584705,-0.412096865126363,2
N4BP3,-3.74542162440365,0.000180091065246676,0.0330733436584705,-0.359608300810775,3
ZNF695,-3.74186862183409,0.000182657004028245,0.0330786760489485,-0.665249502181097,3
SMCP,3.7323548616801,0.000189698002068901,0.0338831814928274,0.198667247633893,3
TNR,3.72425863753408,0.000195890021954705,0.0340758451950964,0.199300686468188,3
DHX35,3.7202556424113,0.000199021221783135,0.0340758451950964,0.121823060600982,2
