gene,meta_Z_OA,meta_P_OA,meta_FDR_OA,mean_logFC_OA,meta_Z_OP,meta_P_OP,meta_FDR_OP,mean_logFC_OP,same_direction,shared_score
S100A4,7.07132388006214,1.53462487625278e-12,5.92036354045806e-10,1.51666015769657,-3.55455400138692,0.000378620750430327,0.0395167774669023,-0.252658747091895,FALSE,15.2357933542425
NCOA1,-4.09743631462392,4.17751047297653e-05,0.00101733388947118,-0.164384098570511,5.506324579449,3.66402710153981e-08,0.000477752493769776,0.135178261653224,FALSE,11.8151237753277
ANKH,4.979461364293,6.37614796168355e-07,3.39286454591654e-05,0.646635914144741,-4.16596903744822,3.1003278215337e-05,0.0126328670203056,-0.370817131538296,FALSE,10.7040339959137
RIPK2,2.76187976916592,0.00574696371401829,0.0398207108786488,0.427302452837366,5.15996039487038,2.47002089345597e-07,0.00111809436813758,0.652780248753929,TRUE,8.8478609180738
MYO6,4.28183296454771,1.85360104122297e-05,0.000524151791813887,0.33751415253444,-3.66635288588113,0.000246034352781001,0.0372310544611458,-0.27293887021349,FALSE,8.34098798514375
TK2,-3.90109789178459,9.57574162363352e-05,0.00200459614376917,-0.353449359910712,-3.94803730340698,7.87945289345574e-05,0.0185799549383,-0.455082343109749,TRUE,8.1223315172662
GCHFR,-4.00884149996169,6.10173519996334e-05,0.00140399093952618,-0.375554896322947,3.56379243355194,0.000365535042792215,0.0395167774669023,0.212257282614024,FALSE,7.65161762572686
ATP6AP2,3.91844077546794,8.91236208533344e-05,0.00190259555821684,0.364853653632857,-3.4374448695876,0.000587230248270991,0.0462461775269037,-0.150905495569584,FALSE,7.28119875957041
MSN,3.13987272385791,0.00169021250386205,0.0166736762253131,0.228981545121145,-4.14191399263769,3.44419506743752e-05,0.0128311027098051,-0.157269149907963,FALSE,7.23497094935956
HNRNPU,-2.99970669341161,0.00270239698803361,0.023372630808589,-0.176827242410909,-4.09543287166445,4.2138031412092e-05,0.0138555625224879,-0.254858356827673,TRUE,6.94357660926936
POLB,-3.32526101179917,0.000883357954551219,0.0104311520597517,-0.0666698880433457,3.55539351854913,0.00037741377607923,0.0395167774669023,0.150156972416792,FALSE,6.47704552741306
EGFR,-2.65477388084495,0.00793615864624763,0.0499280056475055,-0.086094223038897,4.06731403765107,4.75581334852436e-05,0.014764535774145,0.526453663026392,FALSE,6.42316485756781
RAB20,-2.85011199835029,0.00437038367843797,0.033079207785648,-0.614565540157429,3.58770822786263,0.000333597293892823,0.0395167774669023,0.345278120171339,FALSE,5.83625791537187
CYSLTR2,2.82949363556917,0.00466217272888169,0.0347555485282126,0.53216033411837,-3.55749652445143,0.000374406053480426,0.0395167774669023,-0.464320730294134,FALSE,5.75806877844429
RP2,2.66691259247489,0.00765515783861698,0.0488428913010872,0.159534684492227,-3.67222012915264,0.000240452420742566,0.0372310544611458,-0.56571769288975,FALSE,5.73501669666083
ARMCX4,-2.95787961851321,0.00309763069544532,0.0257710084666664,0.014711572665717,3.42416229507734,0.000616697792958576,0.0470585464500042,0.136774166353565,FALSE,5.71889796660934
BAX,2.85101883706424,0.00435793876597529,0.0330347049474141,0.493581953198994,-3.473330073016,0.00051404275410016,0.0436503391899895,-0.592623205109699,FALSE,5.64971963462792
ITPKB,2.8181293698861,0.00483043427564234,0.0354414027815816,0.481217083990458,-3.43673938023472,0.000588761827553188,0.0462461775269037,-0.024085585923519,FALSE,5.54607417795195
LASP1,2.69824091087827,0.00697069749675678,0.045414640747869,0.293466300577472,-3.47190299118896,0.000516783044099893,0.0436503391899895,-0.0314387224160861,FALSE,5.44341550786569
ARSF,2.65904793402275,0.00783618132705269,0.0495878328616422,0.186293551757185,3.38893250837464,0.000701652781842989,0.0497220142524496,0.669756429073081,TRUE,5.25977327171075
