gene,meta_Z_OA,meta_P_OA,meta_FDR_OA,mean_logFC_OA,meta_Z_OP,meta_P_OP,meta_FDR_OP,mean_logFC_OP,same_direction,shared_score
DDIT4,-8.8104152395305,1.24683134752939e-18,6.73413610800625e-15,-2.26890211307395,2.47542382633089,0.0133078146525955,0.170118230642346,0.318524636701915,FALSE,19.7800855438215
TNFAIP6,9.21418122130255,3.13662940896393e-20,3.38818708756283e-16,2.00102571399104,-0.158177040364342,0.874317295115162,0.962169221169272,-0.11563462033147,FALSE,19.5618677205509
CCNB1IP1,-8.6830008970816,3.85461348100606e-18,1.04093837054569e-14,-0.895570791302118,1.93555051227322,0.0529227764307859,0.317159751536577,0.0584542211637209,FALSE,18.6903765440035
OGN,8.65727881629878,4.83159856295008e-18,1.04381855353973e-14,1.48094250000873,-1.59935000518836,0.109742854330331,0.430839956463165,-0.602924929269399,FALSE,18.2755329048914
CD55,8.72652621145726,2.62614505626296e-18,9.45587296591748e-15,1.04206199737306,-0.804886936091657,0.42088492775312,0.741594271082136,0.188476682921506,FALSE,17.9565179155676
CRLF1,8.47709191464953,2.30892533682339e-17,4.15683524806104e-14,1.37413265456239,0.87400397369517,0.382116089713488,0.712720576656258,0.0629642186002041,TRUE,17.0543947856787
CRTAC1,7.99940838085897,1.25018432429992e-15,1.50049900789864e-12,0.887233398708483,-2.2993061407133,0.0214875613802047,0.213386376874706,-0.592171300631681,FALSE,16.5708388206131
COL5A1,8.07228945732929,6.89920753740147e-16,9.31565497737633e-13,1.11870604742818,1.65192672863937,0.0985494885293485,0.409563340382125,0.020601919470577,TRUE,16.1675464160591
STC2,-8.17377540769646,2.9888597511673e-16,4.6122375760156e-13,-1.28728327374284,1.16936443328054,0.242256833207602,0.593701860085202,0.280145363673824,FALSE,16.1402184274502
NGF,7.82786139947981,4.96238554955209e-15,4.87306260966015e-12,1.57675598274946,2.23389067503384,0.0254902672782725,0.23116761059057,0.723481393966375,TRUE,15.8979351072159
ADM,-7.94757150024311,1.90203231696319e-15,2.05457530878364e-12,-2.04099865793249,1.53054684174113,0.125881428224851,0.45758794051403,0.514649141285991,FALSE,15.62082044666
S100A4,7.07132388006214,1.53462487625278e-12,5.92036354045806e-10,1.51666015769657,-3.55455400138692,0.000378620750430327,0.0395167774669023,-0.252658747091895,FALSE,15.2357933542425
COL15A1,7.39339853566852,1.43122672687433e-13,7.73005555184826e-11,0.88804487527737,2.83542980211692,0.00457640711925417,0.107802192641916,-0.02865866186191,TRUE,15.1837669097676
TSPAN2,7.66212838694101,1.82876683283242e-14,1.51956456371199e-11,1.0960518687267,-1.92106819967171,0.0547231100668372,0.32102196695641,-0.249487461322741,FALSE,14.9996708918179
MEG3,-7.60579981161532,2.83147287484165e-14,1.91159812462747e-11,-1.0364145147823,-2.0979522198647,0.0359093663494182,0.268015013068153,-0.483920526014722,TRUE,14.9927798527977
FAP,7.44647334504419,9.58683950117848e-14,5.45037054167e-11,1.2311297331573,2.09577829386222,0.0361018627380363,0.268902570938289,0.137039819289296,TRUE,14.4607949326843
BPGM,7.38592966317775,1.5139181389297e-13,7.78730654129458e-11,0.661912627614602,-2.16004082992298,0.0307695089113165,0.250126949310883,-0.210402931313857,FALSE,14.331777042653
IGFBP1,7.6167850432935,2.60071897363621e-14,1.87286442354789e-11,1.8276072924417,-1.02020430940007,0.307631574268141,0.653969791784655,-0.585865270272988,FALSE,14.0968756659676
ALDH1L1,-7.72797465528767,1.09271092503432e-14,9.83621951018396e-12,-1.1830457717259,0.188852218611024,0.850208643615193,0.951995537330193,-0.0326508070362781,FALSE,14.0319691988889
TNC,7.64548244229399,2.08163356478343e-14,1.60612898334219e-11,1.82144888864679,-0.53256548605035,0.594334399069457,0.846093160940928,-0.055860307193375,FALSE,13.907564850837
ETS2,-7.36376223917243,1.78798034971881e-13,8.40687262701535e-11,-0.974947885068196,1.53249071180188,0.125401387895906,0.456318032815666,-0.225013291943625,FALSE,13.6493349153708
HTRA1,7.53209369654763,4.99331054072566e-14,3.17280826240698e-11,1.12714825869359,-0.686405221326209,0.492457612843683,0.790403210416051,-0.104165952590734,FALSE,13.609242568201
MEX3D,6.80248301754257,1.02831141821572e-11,3.08550553876838e-09,0.922779896352421,3.02361460530065,0.00249774403671284,0.0866073472736365,0.0104592651832837,TRUE,13.590327411048
