set,n_input,n_mapped,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,Count,geneID
WGCNA cross-disease shared genes,20,20,,no significant term,,,,,,
Core splicing programme,135,135,GO:0008380,RNA splicing,126/134,267/9907,2.41415140602063e-201,3.09252795111243e-198,126,MBNL1/SNRPA/SF3A2/KHDRBS2/MBNL2/HNRNPA3/XAB2/KHDRBS3/SF3A3/U2AF1/MAGOHB/SF3B4/SRRM1/SNRPA1/RNPS1/BCAS2/JMJD6/THOC1/FMR1/RBM22/ACIN1/PPIE/DDX42/THOC2/BUD31/YTHDC1/PCBP4/HNRNPL/LSM5/RBM3/SYF2/SON/NOVA1/TCERG1/MYOD1/SNW1/SNRPB/LSM2/RBM15B/CDC40/NOVA2/WBP11/SRPK2/U2AF2/EIF4A3/DHX15/SMNDC1/PTBP1/NUP98/HNRNPU/PRPF19/PQBP1/WTAP/PPIH/DHX16/SNRPE/PRPF31/PRPF18/KHDRBS1/SNRPD1/DDX23/SRPK1/PRPF4/QKI/SNRPF/CDC5L/SART1/SAP18/RBM10/CIRBP/DAZAP1/LSM4/DYRK1A/AQR/ZBTB7A/DDX46/SNRPG/PUF60/SF3B5/SF1/SF3B1/RBM39/TRA2A/PRDX6/THRAP3/SNRPB2/LSM7/PRPF3/SF3B2/NCBP2/RBM42/RBM7/PRPF38B/LARP7/LSM3/TIA1/HNRNPC/RBM8A/DHX8/SNRPD3/RBM17/RBM23/LSM6/CRNKL1/SMU1/SF3B3/RBM25/RBM15/MBNL3/C1QBP/SNRPC/NCBP1/TXNL4A/SF3A1/USP39/RBM5/PRPF8/DDX17/REST/NCL/CTNNBL1/SNRPD2/HNRNPA1/PRPF6/DHX38/PRPF40A
Core splicing programme,135,135,GO:0000375,"RNA splicing, via transesterification reactions",117/134,196/9907,4.14896889986386e-198,2.6574145803628e-195,117,SNRPA/SF3A2/KHDRBS2/HNRNPA3/XAB2/KHDRBS3/SF3A3/U2AF1/MAGOHB/SF3B4/SRRM1/SNRPA1/RNPS1/BCAS2/JMJD6/FMR1/RBM22/ACIN1/PPIE/DDX42/BUD31/YTHDC1/PCBP4/HNRNPL/LSM5/RBM3/SYF2/SON/NOVA1/SNW1/SNRPB/LSM2/RBM15B/CDC40/NOVA2/SRPK2/U2AF2/EIF4A3/DHX15/SMNDC1/PTBP1/NUP98/HNRNPU/PRPF19/PQBP1/WTAP/PPIH/DHX16/SNRPE/PRPF31/PRPF18/KHDRBS1/SNRPD1/DDX23/SRPK1/PRPF4/QKI/SNRPF/CDC5L/SART1/SAP18/RBM10/CIRBP/DAZAP1/LSM4/DYRK1A/AQR/ZBTB7A/DDX46/SNRPG/PUF60/SF3B5/SF1/SF3B1/RBM39/TRA2A/PRDX6/THRAP3/SNRPB2/LSM7/PRPF3/SF3B2/NCBP2/RBM42/RBM7/LARP7/LSM3/TIA1/HNRNPC/RBM8A/DHX8/SNRPD3/RBM17/RBM23/LSM6/CRNKL1/SMU1/SF3B3/RBM25/RBM15/C1QBP/SNRPC/NCBP1/TXNL4A/SF3A1/USP39/RBM5/PRPF8/DDX17/REST/NCL/CTNNBL1/SNRPD2/HNRNPA1/PRPF6/DHX38/PRPF40A
Core splicing programme,135,135,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",116/134,192/9907,8.73283323968196e-197,2.79668984500815e-194,116,SNRPA/SF3A2/KHDRBS2/HNRNPA3/XAB2/KHDRBS3/SF3A3/U2AF1/MAGOHB/SF3B4/SRRM1/SNRPA1/RNPS1/BCAS2/JMJD6/FMR1/RBM22/ACIN1/PPIE/DDX42/BUD31/YTHDC1/PCBP4/HNRNPL/LSM5/RBM3/SYF2/SON/NOVA1/SNW1/SNRPB/LSM2/RBM15B/CDC40/NOVA2/SRPK2/U2AF2/EIF4A3/DHX15/PTBP1/NUP98/HNRNPU/PRPF19/PQBP1/WTAP/PPIH/DHX16/SNRPE/PRPF31/PRPF18/KHDRBS1/SNRPD1/DDX23/SRPK1/PRPF4/QKI/SNRPF/CDC5L/SART1/SAP18/RBM10/CIRBP/DAZAP1/LSM4/DYRK1A/AQR/ZBTB7A/DDX46/SNRPG/PUF60/SF3B5/SF1/SF3B1/RBM39/TRA2A/PRDX6/THRAP3/SNRPB2/LSM7/PRPF3/SF3B2/NCBP2/RBM42/RBM7/LARP7/LSM3/TIA1/HNRNPC/RBM8A/DHX8/SNRPD3/RBM17/RBM23/LSM6/CRNKL1/SMU1/SF3B3/RBM25/RBM15/C1QBP/SNRPC/NCBP1/TXNL4A/SF3A1/USP39/RBM5/PRPF8/DDX17/REST/NCL/CTNNBL1/SNRPD2/HNRNPA1/PRPF6/DHX38/PRPF40A
Core splicing programme,135,135,GO:0000398,"mRNA splicing, via spliceosome",116/134,192/9907,8.73283323968196e-197,2.79668984500815e-194,116,SNRPA/SF3A2/KHDRBS2/HNRNPA3/XAB2/KHDRBS3/SF3A3/U2AF1/MAGOHB/SF3B4/SRRM1/SNRPA1/RNPS1/BCAS2/JMJD6/FMR1/RBM22/ACIN1/PPIE/DDX42/BUD31/YTHDC1/PCBP4/HNRNPL/LSM5/RBM3/SYF2/SON/NOVA1/SNW1/SNRPB/LSM2/RBM15B/CDC40/NOVA2/SRPK2/U2AF2/EIF4A3/DHX15/PTBP1/NUP98/HNRNPU/PRPF19/PQBP1/WTAP/PPIH/DHX16/SNRPE/PRPF31/PRPF18/KHDRBS1/SNRPD1/DDX23/SRPK1/PRPF4/QKI/SNRPF/CDC5L/SART1/SAP18/RBM10/CIRBP/DAZAP1/LSM4/DYRK1A/AQR/ZBTB7A/DDX46/SNRPG/PUF60/SF3B5/SF1/SF3B1/RBM39/TRA2A/PRDX6/THRAP3/SNRPB2/LSM7/PRPF3/SF3B2/NCBP2/RBM42/RBM7/LARP7/LSM3/TIA1/HNRNPC/RBM8A/DHX8/SNRPD3/RBM17/RBM23/LSM6/CRNKL1/SMU1/SF3B3/RBM25/RBM15/C1QBP/SNRPC/NCBP1/TXNL4A/SF3A1/USP39/RBM5/PRPF8/DDX17/REST/NCL/CTNNBL1/SNRPD2/HNRNPA1/PRPF6/DHX38/PRPF40A
Core splicing programme,135,135,GO:0006397,mRNA processing,125/134,287/9907,3.60185531487781e-193,9.22795331671696e-191,125,MBNL1/SNRPA/SF3A2/KHDRBS2/MBNL2/HNRNPA3/XAB2/KHDRBS3/SF3A3/U2AF1/MAGOHB/SF3B4/SRRM1/SNRPA1/RNPS1/BCAS2/JMJD6/THOC1/FMR1/RBM22/ACIN1/PPIE/DDX42/THOC2/BUD31/YTHDC1/PCBP4/HNRNPL/LSM5/RBM3/SYF2/SON/NOVA1/TCERG1/SNW1/SNRPB/LSM2/RBM15B/CDC40/NOVA2/WBP11/SRPK2/U2AF2/EIF4A3/DHX15/SMNDC1/PTBP1/NUP98/HNRNPU/PRPF19/PQBP1/WTAP/PPIH/DHX16/SNRPE/PRPF31/PRPF18/KHDRBS1/SNRPD1/DDX23/SRPK1/PRPF4/QKI/SNRPF/CDC5L/SART1/SAP18/RBM10/CIRBP/DAZAP1/LSM4/DYRK1A/AQR/ZBTB7A/DDX46/SNRPG/PUF60/SF3B5/SF1/SF3B1/RBM39/TRA2A/PRDX6/THRAP3/SNRPB2/LSM7/PRPF3/SF3B2/NCBP2/RBM42/RBM7/PRPF38B/LARP7/LSM3/TIA1/HNRNPC/RBM8A/DHX8/SNRPD3/RBM17/RBM23/LSM6/CRNKL1/SMU1/SF3B3/RBM25/RBM15/MBNL3/C1QBP/SNRPC/NCBP1/TXNL4A/SF3A1/USP39/RBM5/PRPF8/DDX17/REST/NCL/CTNNBL1/SNRPD2/HNRNPA1/PRPF6/DHX38/PRPF40A
Core splicing programme,135,135,GO:0016071,mRNA metabolic process,128/134,454/9907,1.32492526754525e-170,2.82871544620912e-168,128,MBNL1/SNRPA/SF3A2/KHDRBS2/MBNL2/HNRNPA3/XAB2/KHDRBS3/SF3A3/U2AF1/MAGOHB/SF3B4/SRRM1/SNRPA1/RNPS1/BCAS2/JMJD6/THOC1/FMR1/RBM22/ACIN1/PPIE/DDX42/THOC2/BUD31/YTHDC1/PCBP4/HNRNPL/LSM5/RBM3/SYF2/SON/NOVA1/TCERG1/SNW1/SNRPB/LSM2/FXR1/RBM15B/CDC40/NOVA2/WBP11/SRPK2/U2AF2/EIF4A3/DHX15/SMNDC1/PTBP1/NUP98/HNRNPU/PRPF19/PQBP1/WTAP/PPIH/DHX16/SNRPE/PRPF31/PRPF18/KHDRBS1/SNRPD1/DDX23/SRPK1/PRPF4/QKI/SNRPF/CDC5L/SART1/SAP18/RBM10/CIRBP/DAZAP1/LSM4/DYRK1A/AQR/ZBTB7A/DDX46/SNRPG/PUF60/SF3B5/SF1/SF3B1/RBM39/TRA2A/PRDX6/THRAP3/SNRPB2/LSM7/PRPF3/FXR2/SF3B2/NCBP2/RBM42/RBM7/PRPF38B/LARP7/LSM3/TIA1/HNRNPC/RBM8A/DHX8/SNRPD3/RBM17/RBM23/LSM6/CRNKL1/SMU1/SF3B3/RBM25/RBM15/HSPA1B/MBNL3/C1QBP/SNRPC/NCBP1/TXNL4A/SF3A1/USP39/RBM5/PRPF8/DDX17/REST/NCL/CTNNBL1/SNRPD2/HNRNPA1/PRPF6/DHX38/PRPF40A
Core splicing programme,135,135,GO:0048024,"regulation of mRNA splicing, via spliceosome",54/134,67/9907,1.21862847226831e-93,2.23009010425101e-91,54,KHDRBS2/KHDRBS3/SRRM1/RNPS1/JMJD6/FMR1/ACIN1/YTHDC1/PCBP4/HNRNPL/SON/NOVA1/SNW1/SNRPB/RBM15B/NOVA2/SRPK2/U2AF2/PTBP1/NUP98/HNRNPU/WTAP/SNRPE/KHDRBS1/SNRPD1/SRPK1/QKI/SNRPF/SAP18/DAZAP1/DYRK1A/ZBTB7A/SNRPG/PUF60/RBM39/PRDX6/THRAP3/RBM7/LARP7/TIA1/RBM8A/SNRPD3/RBM23/SMU1/RBM25/RBM15/C1QBP/NCBP1/RBM5/PRPF8/DDX17/REST/SNRPD2/HNRNPA1
Core splicing programme,135,135,GO:0043484,regulation of RNA splicing,62/134,109/9907,8.87847010369267e-93,1.42166502535379e-90,62,MBNL1/KHDRBS2/MBNL2/KHDRBS3/SRRM1/RNPS1/JMJD6/FMR1/RBM22/ACIN1/YTHDC1/PCBP4/HNRNPL/SON/NOVA1/MYOD1/SNW1/SNRPB/RBM15B/NOVA2/SRPK2/U2AF2/PTBP1/NUP98/HNRNPU/PQBP1/WTAP/SNRPE/KHDRBS1/SNRPD1/SRPK1/QKI/SNRPF/SAP18/DAZAP1/DYRK1A/ZBTB7A/SNRPG/PUF60/SF3B5/RBM39/PRDX6/THRAP3/RBM7/LARP7/TIA1/RBM8A/SNRPD3/RBM23/SMU1/SF3B3/RBM25/RBM15/MBNL3/C1QBP/NCBP1/RBM5/PRPF8/DDX17/REST/SNRPD2/HNRNPA1
Core splicing programme,135,135,GO:0050684,regulation of mRNA processing,55/134,84/9907,1.01555487872564e-86,1.4454731107195e-84,55,KHDRBS2/KHDRBS3/SRRM1/RNPS1/JMJD6/FMR1/ACIN1/YTHDC1/PCBP4/HNRNPL/SON/NOVA1/SNW1/SNRPB/RBM15B/NOVA2/SRPK2/U2AF2/PTBP1/NUP98/HNRNPU/WTAP/SNRPE/KHDRBS1/SNRPD1/SRPK1/QKI/SNRPF/SAP18/DAZAP1/DYRK1A/ZBTB7A/SNRPG/PUF60/RBM39/PRDX6/THRAP3/NCBP2/RBM7/LARP7/TIA1/RBM8A/SNRPD3/RBM23/SMU1/RBM25/RBM15/C1QBP/NCBP1/RBM5/PRPF8/DDX17/REST/SNRPD2/HNRNPA1
