pathway,z_OA,d_OA,P_OA,FDR_OA,z_OP,d_OP,P_OP,FDR_OP,chisq,P_joint,FDR_joint,same_dir,direction,conv_score
GOBP_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION,-4.30354837829644,-0.203010311243317,1.68084123707423e-05,0.000534237748746619,-4.32715473784306,-0.177670242427716,1.51047850966166e-05,0.0129296960427038,44.1882600621119,5.86330993771521e-09,3.15439450576028e-06,TRUE,Down in both,4.31531927447689
REACTOME_DEACTIVATION_OF_THE_BETA_CATENIN_TRANSACTIVATING_COMPLEX,-3.45314405848504,-0.127792601457621,0.000554093011523648,0.0070445059662599,-3.86169500237333,-0.0305049352286192,0.000112603084433111,0.0212436856726162,33.179638888544,1.09747425486324e-06,8.96812124351493e-05,TRUE,Down in both,3.64601026548409
GOBP_QUINONE_METABOLIC_PROCESS,4.12039825120791,0.155172081531496,3.78218069090838e-05,0.00102497096723617,3.2081781418347,0.074879298694158,0.00133578730534618,0.0629413174335595,33.6017182769063,8.99333039010499e-07,8.4254182302854e-05,TRUE,Up in both,3.60751417362002
GOBP_GRANULOCYTE_DIFFERENTIATION,-2.99598416230127,-0.127144437428074,0.00273560641486109,0.0205530116425681,-4.00872233043254,-0.0819449179302702,6.10481467676975e-05,0.0167706123532238,31.2104997152621,2.77313819741628e-06,0.000187057415209719,TRUE,Down in both,3.42914257021268
GOBP_POSITIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION,-4.88396011229746,-0.148105827884741,1.03976117337811e-06,7.23477065097825e-05,-2.43585157213759,0.0314358939361102,0.014856779354709,0.175480224347475,35.9716370157409,2.93283475722189e-07,4.01005703696907e-05,TRUE,Down in both,3.25052130592216
GOBP_DNA_SYNTHESIS_INVOLVED_IN_DNA_REPAIR,-2.91989865862398,-0.122312080005683,0.00350145228879315,0.0242704602581888,-3.47533525092208,-0.135878813445256,0.000510215280901984,0.0395615085261624,26.4705105175856,2.54312047005275e-05,0.000946003416029179,TRUE,Down in both,3.17349666359781
GOBP_ERYTHROCYTE_HOMEOSTASIS,-3.0557598151125,-0.110684080455945,0.00224491009490703,0.0180047384403058,-3.28470614418811,-0.0678007363427524,0.00102088785770234,0.0529072303899148,25.9723447739616,3.20535302616645e-05,0.00111067677803946,TRUE,Down in both,3.16609949624911
GOBP_MODULATION_BY_HOST_OF_SYMBIONT_PROCESS,-2.5232136642577,-0.0389831978816533,0.0116287720808752,0.0559819334954596,-4.15536519015356,-0.12232586822841,3.24768390603632e-05,0.0146850414115062,29.5785125340849,5.96306145751007e-06,0.000324377719500467,TRUE,Down in both,3.13985189254774
GOBP_NEGATIVE_REGULATION_OF_MRNA_PROCESSING,-3.34696581720909,-0.193913083763862,0.000817012843367229,0.00912537772342269,-2.91101134435596,-0.0600782728326462,0.00360260937041571,0.0911477917559363,25.4719052280711,4.04301024538256e-05,0.0012783493019619,TRUE,Down in both,3.11380345805885
GOBP_GLYCOSIDE_METABOLIC_PROCESS,3.42267655138028,0.187472637628759,0.000620078145788607,0.00756583500631644,2.84495879789192,0.133782639854306,0.00444171680586219,0.102298912622907,25.604758711122,3.80146722396392e-05,0.00120953601798953,TRUE,Up in both,3.10719217840853
GOBP_GLUCAN_BIOSYNTHETIC_PROCESS,-4.39887376489734,-0.15635571736546,1.08814094106764e-05,0.000386402600383262,-2.39064724178146,-0.0330308433621107,0.0168187037270522,0.190686230335851,31.0274369565363,3.02219545186416e-06,0.000196016497320266,TRUE,Down in both,3.09776062925558
REACTOME_FLT3_SIGNALING_IN_DISEASE,-2.94866691251712,-0.196528605877137,0.00319147746686945,0.0228234964957095,-3.23417762743922,-0.0527063188499072,0.0012199355672229,0.0580147136412666,24.9124570980677,5.23904381662761e-05,0.00149741935979204,TRUE,Down in both,3.08483012878745
GOBP_NEGATIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY,-3.21589080381467,-0.0599229032075893,0.00130040302430395,0.0122633244911008,-2.94541747503884,-0.0432917287012598,0.00322519170886373,0.0889864851717681,24.7636878595148,5.61241098498382e-05,0.00155154028267941,TRUE,Down in both,3.07471742775221
GOBP_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_IN_RESPONSE_TO_STRESS,-5.12225970147172,-0.247934073756341,3.01895699798941e-07,2.93294520427311e-05,-2.18838955095526,-0.0904086329471952,0.0286412387599005,0.246814433340351,37.1321838583263,1.69181477852177e-07,2.76093256920698e-05,TRUE,Down in both,3.066622189338
GOBP_PEPTIDYL_SERINE_DEPHOSPHORYLATION,-2.82443647738282,-0.15579336923166,0.00473638357872945,0.0293826976468409,-3.33198097216116,0.0191797379483468,0.000862301517872008,0.0494125588801747,24.816773904595,5.4762409951764e-05,0.00154772643545237,TRUE,Down in both,3.05728735156338
GOBP_POSITIVE_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION,-2.58497078538387,-0.103180932458935,0.00973872488501241,0.0492097099439931,-3.6974420738292,-0.184694826080288,0.000217782893755512,0.0279633235582078,26.1273139536234,2.98279994618428e-05,0.00106267499491171,TRUE,Down in both,3.0427098491247
KEGG_ETHER_LIPID_METABOLISM,3.18781964053572,0.107848937348469,0.00143349920914765,0.0132753371005418,2.90741556658723,0.076106829337047,0.00364428709475475,0.0917502868561783,24.3244626828288,6.87605846260205e-05,0.00177479488583183,TRUE,Up in both,3.04116777496462
GOBP_HISTONE_H3_DEACETYLATION,-2.96716646954788,-0.14017224701817,0.00300558179054289,0.0219514051624189,-3.097320716706,-0.101125063145806,0.001952784772761,0.0780015824589523,24.091565917585,7.65690184304042e-05,0.00188040128271561,TRUE,Down in both,3.03084692696762
GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE,-3.02478278033078,-0.189990093492972,0.00248811755078438,0.0194371787761469,-3.01750532985494,-0.0732186010086379,0.00254864559216928,0.0846235047992773,23.9368441187281,8.22370416349928e-05,0.00196243959260108,TRUE,Down in both,3.02113967254072
GOBP_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION,-2.84696213519349,-0.101495967237392,0.00441386120468363,0.0280926716228875,-3.14674597092769,-0.106940832780904,0.00165098330968425,0.07307231399366,23.6587792785864,9.34904716145416e-05,0.0021695793389815,TRUE,Down in both,2.98935699559831
