pathway,family
HALLMARK_TNFA_SIGNALING_VIA_NFKB,1
HALLMARK_HYPOXIA,2
HALLMARK_CHOLESTEROL_HOMEOSTASIS,3
HALLMARK_MITOTIC_SPINDLE,4
HALLMARK_WNT_BETA_CATENIN_SIGNALING,5
HALLMARK_TGF_BETA_SIGNALING,6
HALLMARK_IL6_JAK_STAT3_SIGNALING,7
HALLMARK_DNA_REPAIR,8
HALLMARK_G2M_CHECKPOINT,9
HALLMARK_APOPTOSIS,10
HALLMARK_NOTCH_SIGNALING,11
HALLMARK_ADIPOGENESIS,12
HALLMARK_ESTROGEN_RESPONSE_EARLY,13
HALLMARK_ESTROGEN_RESPONSE_LATE,13
HALLMARK_ANDROGEN_RESPONSE,14
HALLMARK_MYOGENESIS,15
HALLMARK_PROTEIN_SECRETION,16
HALLMARK_INTERFERON_ALPHA_RESPONSE,17
HALLMARK_INTERFERON_GAMMA_RESPONSE,17
HALLMARK_APICAL_JUNCTION,18
HALLMARK_APICAL_SURFACE,19
HALLMARK_HEDGEHOG_SIGNALING,20
HALLMARK_COMPLEMENT,21
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,22
HALLMARK_PI3K_AKT_MTOR_SIGNALING,23
HALLMARK_MTORC1_SIGNALING,24
HALLMARK_E2F_TARGETS,25
HALLMARK_MYC_TARGETS_V1,26
HALLMARK_MYC_TARGETS_V2,27
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,28
HALLMARK_INFLAMMATORY_RESPONSE,29
HALLMARK_XENOBIOTIC_METABOLISM,30
HALLMARK_FATTY_ACID_METABOLISM,31
HALLMARK_OXIDATIVE_PHOSPHORYLATION,32
HALLMARK_GLYCOLYSIS,33
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,34
HALLMARK_P53_PATHWAY,35
HALLMARK_UV_RESPONSE_UP,36
HALLMARK_UV_RESPONSE_DN,37
HALLMARK_ANGIOGENESIS,38
HALLMARK_HEME_METABOLISM,39
HALLMARK_COAGULATION,40
HALLMARK_IL2_STAT5_SIGNALING,41
HALLMARK_BILE_ACID_METABOLISM,42
HALLMARK_PEROXISOME,43
HALLMARK_ALLOGRAFT_REJECTION,44
HALLMARK_SPERMATOGENESIS,45
HALLMARK_KRAS_SIGNALING_UP,46
HALLMARK_KRAS_SIGNALING_DN,47
HALLMARK_PANCREAS_BETA_CELLS,48
KEGG_N_GLYCAN_BIOSYNTHESIS,49
KEGG_OTHER_GLYCAN_DEGRADATION,50
KEGG_O_GLYCAN_BIOSYNTHESIS,51
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,52
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,53
KEGG_GLYCEROLIPID_METABOLISM,54
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,55
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,56
KEGG_ETHER_LIPID_METABOLISM,57
