pathway,k,z_meta,delta_mean,concord,P_meta,FDR_meta
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES,4,6.57110763581016,0.207327555589757,0.75,4.99423393283467e-11,2.01935095276242e-07
GOBP_LEFT_RIGHT_PATTERN_FORMATION,4,-6.45335572107873,-0.228424985925132,1,1.09400154982028e-10,2.01935095276242e-07
REACTOME_ELASTIC_FIBRE_FORMATION,4,6.44232764779108,0.174655194753243,0.75,1.17654939955084e-10,2.01935095276242e-07
REACTOME_ECM_PROTEOGLYCANS,4,6.27532106031827,0.25361732896219,0.75,3.48913549458608e-10,4.49138966540594e-07
GOBP_CELLULAR_RESPONSE_TO_ESTROGEN_STIMULUS,2,-6.21693380515766,-0.375029097193762,1,5.06963498375755e-10,5.22071010627353e-07
REACTOME_COLLAGEN_FORMATION,4,6.15588354741842,0.266138988808623,0.75,7.46600709981962e-10,6.40707842616187e-07
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,4,6.09205841334865,0.222737120714793,0.75,1.11467992804175e-09,8.19926707069564e-07
REACTOME_ANCHORING_FIBRIL_FORMATION,4,6.03672951545866,0.313401206937507,1,1.5726900801963e-09,1.00372994971301e-06
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,4,6.01905045333471,0.218718090422538,0.75,1.75443184063257e-09,1.00372994971301e-06
GOBP_TORC1_SIGNALING,4,-5.94618836815918,-0.260877574747917,1,2.74458294905085e-09,1.41318576046628e-06
REACTOME_RESPONSE_OF_EIF2AK1_HRI_TO_HEME_DEFICIENCY,4,-5.90863837472406,-0.387635112533672,1,3.44946993867023e-09,1.54582893565011e-06
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_DEATH_GENES,4,-5.90147633631344,-0.402800517168576,1,3.60263104055183e-09,1.54582893565011e-06
GOBP_PLASMINOGEN_ACTIVATION,4,5.85634178231694,0.237352772784253,1,4.73173940214053e-09,1.74208573636271e-06
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,4,5.85616813911302,0.272595315825934,0.75,4.73668679531519e-09,1.74208573636271e-06
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,4,5.79352556289536,0.150375566990991,0.75,6.89239887913309e-09,2.36593078857709e-06
REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING,4,-5.78086040687335,-0.21416034732199,1,7.43195398073437e-09,2.39169569042508e-06
GOBP_NEGATIVE_REGULATION_OF_CARDIAC_MUSCLE_CELL_PROLIFERATION,1,-5.72345686655539,-0.392085590058663,1,1.0437807704446e-08,3.16142775707015e-06
GOBP_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION,4,5.69993089127686,0.119676784339621,1,1.19856006578584e-08,3.33857126866741e-06
REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS,4,-5.69524551722949,-0.200452131894894,1,1.23194511758945e-08,3.33857126866741e-06
REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS,4,-5.65217534435156,-0.259945650065564,1,1.58429848089841e-08,4.05125517895635e-06
GOBP_CAMP_MEDIATED_SIGNALING,4,-5.64495037975911,-0.180239823360037,1,1.65228896403347e-08,4.05125517895635e-06
GOBP_SNRNA_TRANSCRIPTION,4,-5.58669594616135,-0.250741076731155,1,2.31430395540641e-08,5.41652321199436e-06
GOBP_NEGATIVE_REGULATION_OF_VASCULAR_PERMEABILITY,4,-5.57049690732262,-0.300406766153438,1,2.54013825883972e-08,5.56877044525257e-06
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,4,5.56672878393485,0.213669195580874,0.75,2.59565917044206e-08,5.56877044525257e-06
