pathway,k,z_meta,delta_mean,concord,P_meta,FDR_meta
GOBP_GAMMA_DELTA_T_CELL_ACTIVATION,3,-5.58623635004004,-0.172473428788255,1,2.32043386788894e-08,0.000119177483454776
REACTOME_RUNX1_INTERACTS_WITH_CO_FACTORS_WHOSE_PRECISE_EFFECT_ON_RUNX1_TARGETS_IS_NOT_KNOWN,3,-4.72478803074755,-0.146764442402556,1,2.30355506290578e-06,0.00524148725856696
GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS,3,4.6242038747561,0.0680972996776669,0.666666666666667,3.76039872438893e-06,0.00524148725856696
REACTOME_NEGATIVE_REGULATION_OF_MET_ACTIVITY,3,-4.60715509902331,-0.156014889833242,1,4.08215518579982e-06,0.00524148725856696
GOBP_RESPONSE_TO_AUDITORY_STIMULUS,3,4.46675403377788,0.210145255737223,1,7.94153474719358e-06,0.00815754449231725
GOBP_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION,3,-4.32715473784306,-0.177670242427716,1,1.51047850966166e-05,0.0129296960427038
GOBP_NEGATIVE_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY,3,-4.26624011947591,-0.0843977834307282,0.666666666666667,1.98794817667968e-05,0.0145858597648955
REACTOME_LISTERIA_MONOCYTOGENES_ENTRY_INTO_HOST_CELLS,3,-4.21271829931038,-0.146283056129095,1,2.52315663630559e-05,0.0146850414115062
GOBP_NEGATIVE_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,3,-4.20360669622498,-0.100236764021598,1,2.6269523599761e-05,0.0146850414115062
GOBP_MITOCHONDRION_LOCALIZATION,3,4.18178885760435,0.097564579400044,1,2.89224499572776e-05,0.0146850414115062
GOBP_MODULATION_BY_HOST_OF_SYMBIONT_PROCESS,3,-4.15536519015356,-0.12232586822841,1,3.24768390603632e-05,0.0146850414115062
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,3,-4.1365400890783,-0.0935158557663327,1,3.52581780268808e-05,0.0146850414115062
REACTOME_RHOU_GTPASE_CYCLE,3,-4.12440100614381,-0.160097928748361,1,3.71700814543576e-05,0.0146850414115062
GOBP_ERYTHROCYTE_DEVELOPMENT,3,-4.07895700615386,-0.0961291660118828,1,4.52382013592583e-05,0.0165959572986536
GOBP_REGULATION_OF_FILOPODIUM_ASSEMBLY,3,-4.03343674120641,-0.0783120269288531,1,5.49669827511808e-05,0.0167706123532238
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES,3,4.00963235970173,0.170508697698053,0.666666666666667,6.08133571856926e-05,0.0167706123532238
GOBP_GRANULOCYTE_DIFFERENTIATION,3,-4.00872233043254,-0.0819449179302702,0.666666666666667,6.10481467676975e-05,0.0167706123532238
GOBP_NEGATIVE_REGULATION_OF_DEPHOSPHORYLATION,3,-3.99999449792752,-0.0910877092767727,1,6.33439563696499e-05,0.0167706123532238
GOBP_POSITIVE_REGULATION_OF_FILOPODIUM_ASSEMBLY,3,-3.99743007349563,-0.161304255645069,1,6.40338982765384e-05,0.0167706123532238
REACTOME_SIGNALING_BY_NTRK3_TRKC,3,-3.99276921280604,-0.0924611806694673,0.666666666666667,6.53061228708091e-05,0.0167706123532238
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION,3,-3.94035627499889,-0.0860079039314194,1,8.13606847811855e-05,0.0184750920897857
GOBP_NEGATIVE_REGULATION_OF_REGULATED_SECRETORY_PATHWAY,3,-3.93661631910069,-0.138235002190981,0.666666666666667,8.26385732054312e-05,0.0184750920897857
GOBP_MICROTUBULE_ORGANIZING_CENTER_LOCALIZATION,3,-3.93633624281665,-0.248245752254025,1,8.27350307759094e-05,0.0184750920897857
GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,3,-3.91829277997262,-0.0375046014216476,0.666666666666667,8.91783472778393e-05,0.0190841663174576
