scenario,train,test,method,n_test,AUC,CI_lo,CI_hi,feature_set
OA internal (LOCO),GSE57218+GSE117999+GSE169077,GSE114007,LASSO,38,0.955555555555556,0.881893993580534,1,Splicing
OA internal (LOCO),GSE57218+GSE117999+GSE169077,GSE114007,RF,38,0.844444444444445,0.720682219133268,0.968206669755621,Splicing
OA internal (LOCO),GSE57218+GSE117999+GSE169077,GSE114007,SVM,38,1,1,1,Splicing
OA internal (LOCO),GSE114007+GSE117999+GSE169077,GSE57218,LASSO,66,0.626262626262626,0.487615051150253,0.764910201375,Splicing
OA internal (LOCO),GSE114007+GSE117999+GSE169077,GSE57218,RF,66,0.71900826446281,0.59533044351787,0.84268608540775,Splicing
OA internal (LOCO),GSE114007+GSE117999+GSE169077,GSE57218,SVM,66,0.596877869605142,0.451488267645,0.742267471565285,Splicing
OA internal (LOCO),GSE114007+GSE57218+GSE169077,GSE117999,LASSO,20,0.55,0.264475407801208,0.835524592198792,Splicing
OA internal (LOCO),GSE114007+GSE57218+GSE169077,GSE117999,RF,20,0.555,0.271387801006804,0.838612198993196,Splicing
OA internal (LOCO),GSE114007+GSE57218+GSE169077,GSE117999,SVM,20,0.45,0.176696080114814,0.723303919885186,Splicing
OA internal (LOCO),GSE114007+GSE57218+GSE117999,GSE169077,LASSO,11,0.8,0.505642669796478,1,Splicing
OA internal (LOCO),GSE114007+GSE57218+GSE117999,GSE169077,RF,11,0.733333333333333,0.392602615410024,1,Splicing
OA internal (LOCO),GSE114007+GSE57218+GSE117999,GSE169077,SVM,11,0.766666666666667,0.443289107651742,1,Splicing
OA cartilage -> OP BM-MSC (same compartment),GSE114007+GSE57218+GSE117999+GSE169077,GSE35958,LASSO,9,0.3,0,0.707999038679519,Splicing
OA cartilage -> OP BM-MSC (same compartment),GSE114007+GSE57218+GSE117999+GSE169077,GSE35958,RF,9,0.55,0.115406252517602,0.984593747482398,Splicing
OA cartilage -> OP BM-MSC (same compartment),GSE114007+GSE57218+GSE117999+GSE169077,GSE35958,SVM,9,0.4,0,0.880091167635531,Splicing
OA cartilage -> OP monocyte (cross compartment),GSE114007+GSE57218+GSE117999+GSE169077,GSE56815,LASSO,80,0.504375,0.375488344470426,0.633261655529574,Splicing
OA cartilage -> OP monocyte (cross compartment),GSE114007+GSE57218+GSE117999+GSE169077,GSE56815,RF,80,0.4421875,0.314710812790211,0.569664187209789,Splicing
OA cartilage -> OP monocyte (cross compartment),GSE114007+GSE57218+GSE117999+GSE169077,GSE56815,SVM,80,0.483125,0.352553720469879,0.613696279530121,Splicing
OA cartilage -> OP monocyte (cross compartment),GSE114007+GSE57218+GSE117999+GSE169077,GSE7158,LASSO,26,0.547619047619048,0.310342121683392,0.784895973554704,Splicing
OA cartilage -> OP monocyte (cross compartment),GSE114007+GSE57218+GSE117999+GSE169077,GSE7158,RF,26,0.595238095238095,0.366498388763444,0.823977801712747,Splicing
OA cartilage -> OP monocyte (cross compartment),GSE114007+GSE57218+GSE117999+GSE169077,GSE7158,SVM,26,0.511904761904762,0.278649152906937,0.745160370902587,Splicing
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE114007,LASSO,38,0.597222222222222,0.406565451705525,0.787878992738919,Splicing
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE114007,RF,38,0.558333333333333,0.364615851320319,0.752050815346347,Splicing
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE114007,SVM,38,0.663888888888889,0.484412820086368,0.84336495769141,Splicing
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE57218,LASSO,66,0.587695133149679,0.447429621005074,0.727960645294283,Splicing
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE57218,RF,66,0.453627180899908,0.31125576332933,0.595998598470487,Splicing
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE57218,SVM,66,0.505050505050505,0.360112766848923,0.649988243252088,Splicing
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE117999,LASSO,20,0.74,0.507358889067298,0.972641110932702,Splicing
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE117999,RF,20,0.585,0.320384698616847,0.849615301383153,Splicing
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE117999,SVM,20,0.55,0.27051894037798,0.82948105962202,Splicing
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE169077,LASSO,11,0.433333333333333,0.024289481064262,0.842377185602405,Splicing
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE169077,RF,11,0.166666666666667,0,0.499796486770293,Splicing
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE169077,SVM,11,0.3,0,0.657838828743431,Splicing
OP monocyte internal (positive ctrl),GSE56815,GSE7158,LASSO,26,0.55952380952381,0.30750215341075,0.811545465636869,Splicing
OP monocyte internal (positive ctrl),GSE56815,GSE7158,RF,26,0.369047619047619,0.129590534535583,0.608504703559656,Splicing
OP monocyte internal (positive ctrl),GSE56815,GSE7158,SVM,26,0.327380952380952,0.102506199801861,0.552255704960043,Splicing
OA internal (LOCO),GSE57218+GSE117999+GSE169077,GSE114007,LASSO,38,0.875,0.765103926973393,0.984896073026607,WGCNA_intersection
OA internal (LOCO),GSE57218+GSE117999+GSE169077,GSE114007,RF,38,0.822222222222222,0.681613736564003,0.962830707880442,WGCNA_intersection
OA internal (LOCO),GSE57218+GSE117999+GSE169077,GSE114007,SVM,38,0.938888888888889,0.869306918532722,1,WGCNA_intersection
OA internal (LOCO),GSE114007+GSE117999+GSE169077,GSE57218,LASSO,66,0.702479338842975,0.573373895723113,0.831584781962838,WGCNA_intersection
OA internal (LOCO),GSE114007+GSE117999+GSE169077,GSE57218,RF,66,0.658402203856749,0.523913744993555,0.792890662719943,WGCNA_intersection
OA internal (LOCO),GSE114007+GSE117999+GSE169077,GSE57218,SVM,66,0.700642791551883,0.572952480766633,0.828333102337132,WGCNA_intersection
OA internal (LOCO),GSE114007+GSE57218+GSE169077,GSE117999,LASSO,20,0.56,0.289995644772871,0.830004355227129,WGCNA_intersection
OA internal (LOCO),GSE114007+GSE57218+GSE169077,GSE117999,RF,20,0.45,0.175138780217511,0.724861219782489,WGCNA_intersection
OA internal (LOCO),GSE114007+GSE57218+GSE169077,GSE117999,SVM,20,0.51,0.229908718997304,0.790091281002696,WGCNA_intersection
OA internal (LOCO),GSE114007+GSE57218+GSE117999,GSE169077,LASSO,11,1,1,1,WGCNA_intersection
OA internal (LOCO),GSE114007+GSE57218+GSE117999,GSE169077,RF,11,0.966666666666667,0.874273078376688,1,WGCNA_intersection
OA internal (LOCO),GSE114007+GSE57218+GSE117999,GSE169077,SVM,11,1,1,1,WGCNA_intersection
OA cartilage -> OP BM-MSC (same compartment),GSE114007+GSE57218+GSE117999+GSE169077,GSE35958,LASSO,9,0.35,0,0.788261270288291,WGCNA_intersection
OA cartilage -> OP BM-MSC (same compartment),GSE114007+GSE57218+GSE117999+GSE169077,GSE35958,RF,9,0.35,0,0.761903424660835,WGCNA_intersection
OA cartilage -> OP BM-MSC (same compartment),GSE114007+GSE57218+GSE117999+GSE169077,GSE35958,SVM,9,0.5,0.0456010435615976,0.954398956438402,WGCNA_intersection
OA cartilage -> OP monocyte (cross compartment),GSE114007+GSE57218+GSE117999+GSE169077,GSE56815,LASSO,80,0.583125,0.455848507099327,0.710401492900673,WGCNA_intersection
OA cartilage -> OP monocyte (cross compartment),GSE114007+GSE57218+GSE117999+GSE169077,GSE56815,RF,80,0.5346875,0.405583476196354,0.663791523803647,WGCNA_intersection
OA cartilage -> OP monocyte (cross compartment),GSE114007+GSE57218+GSE117999+GSE169077,GSE56815,SVM,80,0.610625,0.485790360398875,0.735459639601125,WGCNA_intersection
OA cartilage -> OP monocyte (cross compartment),GSE114007+GSE57218+GSE117999+GSE169077,GSE7158,LASSO,26,0.339285714285714,0.121672736672456,0.556898691898972,WGCNA_intersection
OA cartilage -> OP monocyte (cross compartment),GSE114007+GSE57218+GSE117999+GSE169077,GSE7158,RF,26,0.339285714285714,0.118149745785803,0.560421682785625,WGCNA_intersection
OA cartilage -> OP monocyte (cross compartment),GSE114007+GSE57218+GSE117999+GSE169077,GSE7158,SVM,26,0.386904761904762,0.159011308327353,0.614798215482171,WGCNA_intersection
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE114007,LASSO,38,0.819444444444445,0.685646797316952,0.953242091571937,WGCNA_intersection
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE114007,RF,38,0.569444444444445,0.377577856972444,0.761311031916445,WGCNA_intersection
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE114007,SVM,38,0.508333333333333,0.314347912258699,0.702318754407968,WGCNA_intersection
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE57218,LASSO,66,0.5,0.5,0.5,WGCNA_intersection
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE57218,RF,66,0.380165289256198,0.243609142521984,0.516721435990412,WGCNA_intersection
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE57218,SVM,66,0.373737373737374,0.236762308077953,0.510712439396795,WGCNA_intersection
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE117999,LASSO,20,0.25,0.0117391664693879,0.488260833530612,WGCNA_intersection
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE117999,RF,20,0.15,0,0.321613473515305,WGCNA_intersection
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE117999,SVM,20,0.18,0,0.391901829454905,WGCNA_intersection
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE169077,LASSO,11,0.3,0,0.641356486527484,WGCNA_intersection
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE169077,RF,11,0.766666666666667,0.460231801274234,1,WGCNA_intersection
OP BM-MSC -> OA cartilage (reverse),GSE35958,GSE169077,SVM,11,0.266666666666667,0,0.626883188203215,WGCNA_intersection
OP monocyte internal (positive ctrl),GSE56815,GSE7158,LASSO,26,0.738095238095238,0.536677417645663,0.939513058544814,WGCNA_intersection
OP monocyte internal (positive ctrl),GSE56815,GSE7158,RF,26,0.592261904761905,0.362758884083842,0.821764925439968,WGCNA_intersection
OP monocyte internal (positive ctrl),GSE56815,GSE7158,SVM,26,0.732142857142857,0.521120364454223,0.943165349831491,WGCNA_intersection
