pathway,z_OA,f_OA,z_MSC,f_MSC
GOBP_REGULATION_OF_RNA_SPLICING,-4.85760046865405,8.04984175870066e-05,-2.94464910393289,0.107829691979378
GOBP_MRNA_SPLICE_SITE_SELECTION,-4.67841804210109,0.000148236129995901,-3.05440316086069,0.0941636768624104
GOBP_POSITIVE_REGULATION_OF_RNA_SPLICING,-4.53671119839095,0.000245170779474485,-2.2334932752127,0.219184429533436
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME,-3.9526766735445,0.00170782893722682,-2.66748676633452,0.139553612046791
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_EXONUCLEOLYTIC,-3.84584241905606,0.0023520741295811,-2.38041298140029,0.188055732535739
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY,-3.52657958767806,0.00578012490653887,-2.55397425935665,0.153648820599207
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,-3.52294722361818,0.00581341627052746,-2.80120290226914,0.124593100539442
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,-3.39847072620832,0.00811431084636337,-2.95256966813949,0.106659237658179
GOBP_MRNA_TRANSPORT,-3.36652737835969,0.0087293354281337,-2.20247800809124,0.225621139656703
GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS,-3.21820771179088,0.0122544648793965,-2.21984465110929,0.221373856858645
