cohort,disease,tissue,programme,n_gene,delta,t,P,hedges_g,FDR
GSE114007,OA,knee cartilage,splicing,801,-0.166233358659853,-3.33551506982972,0.00198627967399105,-1.05263353690189,0.0139039577179373
GSE114007,OA,knee cartilage,osteoblast,414,0.108777302542727,2.41774802046349,0.0217350799355071,0.782012640293371,0.15214555954855
GSE114007,OA,knee cartilage,chondro,183,0.142081792948414,2.25154393576039,0.0315030078872821,0.727188203723398,0.220521055210975
GSE114007,OA,knee cartilage,ribosome,150,-0.272553431788673,-2.11321863734758,0.0415844985208305,-0.669094420109428,0.17874374024817
GSE57218,OA,knee/hip cartilage,splicing,663,-0.077034577951769,-1.46790852625783,0.147746664063005,-0.357122638257448,0.206845329688207
GSE57218,OA,knee/hip cartilage,osteoblast,382,0.00594721723755832,0.152440753314661,0.879360189897589,0.0370868095851105,0.939636229469229
GSE57218,OA,knee/hip cartilage,chondro,176,0.000779004478730019,0.0231395879894698,0.981613079656251,0.00562955426933622,0.99387602859707
GSE57218,OA,knee/hip cartilage,ribosome,139,-0.077766847602588,-1.11007375279475,0.271243926903775,-0.27006619293168,0.379741497665285
GSE117999,OA,knee cartilage,splicing,803,-0.0806939479766815,-0.610220577966529,0.54934814471309,-0.261367997647778,0.640906168831938
GSE117999,OA,knee cartilage,osteoblast,401,0.0357508402200458,0.313647332849522,0.758081688016651,0.134340561945032,0.939636229469229
GSE117999,OA,knee cartilage,chondro,183,-0.0731825065223962,-0.651530012048733,0.525323723455269,-0.279061540703975,0.919316516046722
GSE117999,OA,knee cartilage,ribosome,149,0.329200954904228,1.20912955271479,0.245407761013672,0.517891040552801,0.379741497665285
GSE169077,OA,knee cartilage,splicing,636,0.038813817707824,0.0759586705074213,0.941409173475829,0.0430353992677105,0.941409173475829
GSE169077,OA,knee cartilage,osteoblast,347,0.252690270103982,0.571591045593301,0.58355673109709,0.322250789009493,0.939636229469229
GSE169077,OA,knee cartilage,chondro,161,0.307543741720143,0.733251544105646,0.484792731929125,0.413746775933795,0.919316516046722
GSE169077,OA,knee cartilage,ribosome,118,-0.32921479838475,-0.830006893368817,0.428386367556838,-0.456405171737208,0.499784095482978
GSE56815,OP,monocyte,splicing,680,0.0609475501286618,2.40247486129723,0.0186616598320741,0.532027623170821,0.0653158094122592
GSE56815,OP,monocyte,osteoblast,366,0.00167509203459645,0.0759793123416536,0.939636229469229,0.0168256049653134,0.939636229469229
GSE56815,OP,monocyte,chondro,169,0.0479326940138633,1.36256602576501,0.176972226044407,0.30173999977242,0.619402791155425
GSE56815,OP,monocyte,ribosome,138,0.114575964861123,1.74144153017574,0.0856003219913129,0.385641911645266,0.199734084646397
GSE7158,OP,monocyte,splicing,819,-0.082109276551591,-1.7220372784005,0.0988574589460507,-0.661833580849307,0.206845329688207
GSE7158,OP,monocyte,osteoblast,412,0.0132442451510566,0.532180139343989,0.599506615763941,0.199379492618331,0.939636229469229
GSE7158,OP,monocyte,chondro,190,-0.000575658090766443,-0.0179445292049795,0.985868561730368,-0.00703182220854317,0.99387602859707
GSE7158,OP,monocyte,ribosome,152,-0.321092611289452,-2.05371366462304,0.0510696400709058,-0.77482805444858,0.17874374024817
GSE35958,OP,BM-MSC,splicing,819,-0.182192022975929,-1.70225876008961,0.135225848689605,-1.01453050476865,0.206845329688207
GSE35958,OP,BM-MSC,osteoblast,412,-0.0182342169598693,-0.386040572114756,0.717348247487205,-0.246689546855118,0.939636229469229
GSE35958,OP,BM-MSC,chondro,190,0.00044626607682813,0.00798561660597485,0.99387602859707,0.00481170996258143,0.99387602859707
GSE35958,OP,BM-MSC,ribosome,152,0.00362685002100911,0.0137680516834593,0.989423822725396,0.00772109749639553,0.989423822725396
