gene,module,GS
XIST,grey,0.170302560040398
TSIX,grey,0.15746217075571
C1QC,yellow,0.524000728979832
RNASE1,yellow,0.467403073335403
POSTN,brown,0.795686984538509
ANXA2P3,turquoise,0.207092642753158
ATP5E,turquoise,0.0535993640966897
RPLP0P2,turquoise,0.149895408222593
VSIG4,yellow,0.621648971171812
MS4A7,yellow,0.348722613108839
OPRK1,green,-0.573747496516079
FCGR3A,yellow,0.544081356975031
PCDH15,turquoise,-0.0514735418896453
GSTM1,blue,-0.0136107260024218
GABRB2,yellow,0.430553019921512
IL11,brown,0.670499180937212
ABO,turquoise,0.303472029859948
C1QA,yellow,0.587807073127803
LOC341056,turquoise,0.201277896034339
HSPB6,turquoise,0.110815855886147
BMP3,grey,0.0247810729966857
HLA-DMB,yellow,0.525241467422596
LILRB5,yellow,0.469250886452412
CLEC7A,yellow,0.510310236797049
KDM5B-AS1,turquoise,-0.103011895768259
VTRNA2-1,turquoise,0.0274790263347053
TRPM2,turquoise,0.256961991174096
NACAP1,turquoise,-0.006784628266328
NAV3,yellow,0.451312047965772
CACNG8,turquoise,0.177155988867022
EPHA7,turquoise,-0.0594998589056655
MTRNR2L2,turquoise,-0.000629187747460562
LOC643387,turquoise,0.0179354981105759
PBK,brown,0.662031229912388
HJURP,brown,0.70760270865789
CDH5,turquoise,-0.161565212512976
PTPRC,yellow,0.512499203421144
CYTH4,yellow,0.499185475517154
CTNND2,turquoise,0.439557618273391
ACPP,green,-0.440046294030034
LOC100507632,yellow,0.607837630460761
CNTN3,turquoise,0.481056598604342
HBB,brown,0.696492167988394
MIR2278,blue,0.103275905058634
CSF2RB,yellow,0.140360571067185
FLJ16779,turquoise,0.248240956753681
PLIN5,green,-0.508629798344701
CKAP2L,brown,0.558287806070294
COL1A1,brown,0.795869089500724
MIR5087,blue,-0.548308539096514
PCDH7,turquoise,0.378134921691173
LOC284581,grey,0.0135609577175941
WDR93,turquoise,0.164431856479721
DUOX2,turquoise,0.208157199193729
MMP1,yellow,0.0457958324269466
INSL3,turquoise,0.46433576127906
SOX3,turquoise,-0.419779712556906
LOC644172,grey,0.284239525813832
CPXM1,yellow,0.364817679811118
MIR1245B,blue,0.421900940977433
MIR1245A,blue,0.423213461116403
PLEKHS1,yellow,0.569716937280294
SNORD74,blue,-0.257227487647709
DOK2,yellow,0.318980071074417
PIK3R5,yellow,0.351092988342311
KIF18B,yellow,0.556768722666115
KCNH6,turquoise,-0.0634678530548003
KCNH7,grey,0.196967229574543
LAIR1,yellow,0.400562160286248
ST14,yellow,0.32324121881988
WDR87,turquoise,0.0660460466743967
GJB2,brown,0.580068630655918
CLEC18C,grey,-0.10199425488648
TNIP3,turquoise,0.436534233493589
ALDH1A1,turquoise,0.254025300318273
FAM21B,blue,-0.0383607631778443
CD22,turquoise,0.249045830709247
SNORD12C,blue,-0.195595979313407
FLT4,turquoise,0.1002889577011
SNURF,turquoise,0.0158278406099905
MIR4308,blue,-0.389946248166042
BIRC7,turquoise,0.463161780173042
SLC6A1,turquoise,-0.217493646932915
IL1R2,turquoise,0.0835417979355978
MEIS1-AS3,turquoise,-0.044449866877952
NOX5,turquoise,0.226406704811718
CDH6,yellow,0.163980156256007
SNORA78,green,-0.483820722604677
RNF17,turquoise,0.106422013794354
MYBL2,yellow,0.618699179599879
SLC2A14,grey,-0.169503029021528
UCMA,grey,-0.428738107431614
HGF,turquoise,0.0581343714005588
PCDH11X,turquoise,-0.283705863563403
C1QTNF9,turquoise,-0.246334156410975
GYS2,turquoise,0.157031926264921
VANGL2,turquoise,0.100306609069124
FOLR2,yellow,0.397574694029102
DEFB124,turquoise,-0.0975241859857369
AIM1L,turquoise,-0.100298609284996
LOC731275,turquoise,-0.0492371963624629
SLC6A17,turquoise,-0.00089559495240172
SLC8A1-AS1,brown,0.545507425734958
CTSL2,turquoise,-0.0807790270121319
MIR4521,turquoise,-0.00932119444745476
LOC100505495,turquoise,-0.159990293095333
CD84,yellow,0.561352441966959
MMP9,yellow,0.51894921864629
SNORA29,blue,-0.112344564148653
MS4A6A,yellow,0.502953113272898
FAM131B,turquoise,0.234697360008827
