gene,module,GS
LTF,magenta,-0.254382225214098
DEFA4,magenta,-0.23691965001752
CEACAM8,magenta,-0.235673861423024
IGH,pink,0.123784624022021
TMEM176B,grey,-0.120436054394612
ERAP2,grey,0.0606251909365923
DEFA1,magenta,-0.207354802502268
IGLJ3,pink,0.100082999020317
CAMP,magenta,-0.254778089698735
IGLC1,pink,0.106864177408183
IGHG3,pink,0.0375323222463028
LCN2,magenta,-0.252721792161355
PTGS2,grey,-0.115584587966484
TMEM176A,blue,-0.120690461653231
EGR2,grey,-0.336148551927109
GUSBP15,turquoise,-0.240356205481267
CD24,magenta,-0.213646040034177
LGALS2,grey,-0.0564976422013824
IGLC2,pink,0.107195118368785
IGKV1D-39,pink,0.00950439607065844
HLA-DQB1,grey,0.105631740018399
IFI44L,purple,0.113004005121732
IGKC,pink,0.111962803477684
PF4V1,black,-0.118025710195344
GNG11,black,0.0398541229321144
LILRA5,grey,0.202026232340317
MFAP3L,black,-0.0353344744760188
FOS,grey,-0.1511488000576
CDKN1C,grey,0.0507576347233655
PDK4,grey,0.0740672100707461
MS4A3,magenta,-0.0541946302247998
FCGR3B,grey,0.0982084200216507
VNN1,grey,0.0946561634849602
HLA-DQA1,grey,0.139291161320209
H3C10,black,0.165076719287183
JCHAIN,pink,0.0429661914490467
TCN1,magenta,-0.151304176789789
S100P,magenta,-0.190665223487014
MX1,purple,-0.0459502738878161
ITGB3,black,-0.158112908200667
PF4,black,-0.0162579654277696
EGR1,grey,-0.197229599981363
BPI,magenta,-0.201317045150698
IGLV2-14,pink,-0.0311860040847739
NRG1,grey,-0.15872998300466
IGKV1-17,pink,0.0224450529956387
NQO2,grey,0.0314183501314663
CAVIN2,black,0.0852214636264608
CRYZ,turquoise,0.0149023532361742
CD9,black,0.034600756784293
IGHM,pink,-0.166103675131959
TUBB1,black,-0.0446022081519184
FOLR1,yellow,-0.476857721934583
TGFB1,blue,-0.0799470935484056
IGLL3P,pink,0.0989917416878884
GBP1,purple,0.00272520222742264
EIF2S3,grey,0.153355222529103
MS4A4A,turquoise,-0.0769149846617452
CES1,grey,-0.0941447973980918
CDC42,grey,-0.0896251620621191
GUSBP14,grey,-0.182769977189464
IFIT1,purple,-0.0513187838444893
LSP1,blue,-0.069785744706925
PRDX2,pink,0.132764967306402
ZEB2,turquoise,-0.461194781880627
CLU,black,-0.110283769271651
GP1BB,black,-0.100291980278619
CSGALNACT1,magenta,-0.0540129726519259
PRKAR2B,black,-0.0247368258101721
LIMD2,blue,-0.0508116793867308
CCL3,grey,-0.18820792275542
TSC22D1,black,0.035157857813377
HP,magenta,-0.310406138687465
GPSM3,blue,-0.0276626582307123
IGKV1OR2-108,pink,0.0849131036139675
FCGR2B,turquoise,0.210776053708724
ALDH1A1,turquoise,0.15047285049138
ANPEP,grey,-0.141586527296376
BTN3A2,grey,0.182808244974069
IFI44,purple,0.0310126814399705
MMP8,magenta,-0.252041225260559
IL1B,grey,-0.0322419022382754
PDGFC,turquoise,-0.0669000891023567
TSPAN13,turquoise,0.173462169419047
IGKV1D-13,pink,0.0348045736514242
SCO2,blue,0.120598015193683
GRINA,blue,-0.263322700227471
H2AC6,black,0.159547196777145
PAM,turquoise,0.0829008924195032
CLC,turquoise,0.144202069154679
CCR3,turquoise,0.168460615475654
CRISP3,magenta,-0.250038704684532
SPARC,black,-0.0434816719326797
PPBP,black,-0.062580897317318
OLFM4,magenta,-0.206209666916305
GUSBP11,pink,0.0524213645217351
RNASE4,turquoise,0.0221790185857045
STXBP2,blue,-0.204758766377654
NKG7,magenta,-0.140325175349764
ERAP1,turquoise,-0.0808324132726277
GZMB,grey,0.266018227694514
F2RL1,turquoise,-0.0244471522238375
NEAT1,grey,-0.113502510300999
SAXO6,turquoise,-0.0518861740561302
IGKV1OR1-1,pink,0.00542037904333501
ITGA2B,black,-0.190058163738248
GATA2,grey,-0.0309317995343339
NRGN,blue,-0.0940680291445224
FLNA,blue,-0.270061997481879
TMEM259,blue,-0.0738094941863122
CCL5,black,0.0499857974846632
TJP2,turquoise,0.0436030457614735
H1-10,blue,-0.117634123329712
LILRA3,grey,-0.171484448327175
SPI1,blue,-0.102868182290527
CLEC1B,black,0.0184880869276392
IER2,grey,-0.35130346408667
CPA3,turquoise,0.0378544459971419
IGHD,pink,-0.0194669731370919
RPAP3,turquoise,-0.130623921623991
IGKV1D-37,pink,0.0335336521621177
DUSP1,grey,-0.106507940229984
TYMP,blue,-0.162895485012354
PKM,blue,-0.111072960586373
PALLD,turquoise,-0.0558851719219948
MLH3,black,0.175886100885388
HPR,magenta,-0.181783365870737
PTPN6,blue,-0.253131998249799
ZYX,blue,-0.0966125755163977
NCF1,blue,-0.0952895822420974
HSPA13,turquoise,0.0262440334514856
LITAF,grey,-0.00259325512203312
HDAC9,turquoise,-0.0819332469134074
PLAAT3,grey,0.15102337234498
HSPB1,yellow,-0.3795279964088
MAP3K7CL,black,0.181871247404316
NDUFA5,turquoise,-0.0691597357858316
GNB2,blue,-0.116970719353342
ZNF652,turquoise,-0.31862124501138
MAD1L1,blue,-0.117727754320381
TCIRG1,blue,-0.0748860379790626
PPIG,brown,0.302706567530717
ASF1A,brown,0.0507499759185416
SERPINB9,turquoise,-0.0704465361242402
NAMPT,turquoise,-0.0897798983792955
CA2,black,-0.146088021545205
EFHD2,blue,-0.0797655888528768
MMD,black,0.0381072950421176
ATP5F1D,blue,-0.17064810381853
SHTN1,turquoise,-0.140523393147101
FOSB,grey,-0.254431761175449
LY75,turquoise,0.0406441628753617
CST3,blue,-0.0353487383878549
CALM3,blue,-0.217340072230545
SKIC3,turquoise,-0.250661137101186
UBE2J1,turquoise,-0.342384782460737
CD4,blue,-0.0600647145178634
BTG2,blue,-0.244730911927171
OAS1,grey,0.0437156904828791
CEBPA,blue,-0.277727594248595
FCGR1A,purple,0.00213741726394588
ANXA3,magenta,-0.150640508822777
AGA,turquoise,0.184451051089936
TLN1,blue,-0.169947028765959
SERPINF1,grey,0.261372220846944
OAS3,purple,-0.0979075237307214
YWHAE,blue,-0.185736471657626
ADK,grey,0.0718436286063816
HDC,grey,0.200851126656389
ERGIC2,brown,0.317384797275674
MYOF,turquoise,-0.0711680979178465
RASA4,grey,-0.274339341865935
RNASE2,magenta,-0.269173092053584
