module,cor,p,size
grey,0.620854095394451,8.06680800197188e-10,782
brown,0.349791616837362,0.00147018604339855,443
yellow,-0.33595280582653,0.0023141891120908,230
magenta,-0.233830765346808,0.0368371369333478,68
blue,-0.108629611658187,0.337476502108954,1136
purple,0.0934759879742643,0.409528315911498,61
turquoise,-0.0553527317194912,0.625782145733004,1572
red,0.0516180045559656,0.649308849276786,186
green,0.0367494794460365,0.746215543164138,223
greenyellow,0.0224847232692237,0.843069072415517,52
black,0.00551685686806571,0.961263556579609,150
pink,0.00463999742629186,0.96741672395909,97
