Axis,Pathway,Source,Z_OA,FDR_OA,Z_other,FDR_other,Theme
A. Mesenchymal shared,G PROTEIN COUPLED GLUTAMATE RECEPTOR SIGNALING PATHWAY,GOBP,4.68,0.000148,3.99,0.0416,Other
A. Mesenchymal shared,HISTONE H3 K4 TRIMETHYLATION,GOBP,-4.54,0.000245,-3.87,0.0469,Other
A. Mesenchymal shared,REGULATION OF THE FORCE OF HEART CONTRACTION,GOBP,3.79,0.00279,4.24,0.0292,Other
A. Mesenchymal shared,MRNA SPLICE SITE SELECTION,GOBP,-4.68,0.000148,-3.05,0.0942,RNA processing & splicing
A. Mesenchymal shared,RENAL WATER HOMEOSTASIS,GOBP,4.35,0.000451,3.18,0.0869,Other
A. Mesenchymal shared,REGULATION OF RNA SPLICING,GOBP,-4.86,8.05e-05,-2.94,0.108,RNA processing & splicing
A. Mesenchymal shared,REGULATION OF MEGAKARYOCYTE DIFFERENTIATION,GOBP,-4.69,0.000146,-2.9,0.11,Other
A. Mesenchymal shared,REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY IN ABSENCE OF LIGAND,GOBP,3.45,0.00704,3.49,0.0609,Cell cycle & senescence
A. Mesenchymal shared,LACTATE METABOLIC PROCESS,GOBP,-4.45,0.000336,-2.78,0.125,Other
A. Mesenchymal shared,COLLAGEN FORMATION,REACTOME,6.16,6.41e-07,2.27,0.21,ECM & collagen
A. Mesenchymal shared,NEGATIVE REGULATION OF TRANSLATIONAL INITIATION,GOBP,-4.82,8.81e-05,-2.5,0.162,Other
A. Mesenchymal shared,COLLAGEN METABOLIC PROCESS,GOBP,4.35,0.000448,2.64,0.142,ECM & collagen
A. Mesenchymal shared,NEGATIVE REGULATION OF REPRODUCTIVE PROCESS,GOBP,4.55,0.000235,2.55,0.155,Other
A. Mesenchymal shared,METABOLISM OF FOLATE AND PTERINES,REACTOME,-3.47,0.00683,-3.07,0.0923,Other
A. Mesenchymal shared,KSRP KHSRP BINDS AND DESTABILIZES MRNA,REACTOME,-3.54,0.00561,-2.93,0.108,Other
A. Mesenchymal shared,REGULATION OF MRNA SPLICING VIA SPLICEOSOME,GOBP,-3.95,0.00171,-2.67,0.14,RNA processing & splicing
A. Mesenchymal shared,CELLULAR RESPONSE TO LIPOPROTEIN PARTICLE STIMULUS,GOBP,2.71,0.0378,3.85,0.0469,Other
A. Mesenchymal shared,ENDOPLASMIC RETICULUM CALCIUM ION HOMEOSTASIS,GOBP,3.69,0.00362,2.77,0.125,Other
A. Mesenchymal shared,ALTERNATIVE MRNA SPLICING VIA SPLICEOSOME,GOBP,-3.4,0.00811,-2.95,0.107,RNA processing & splicing
A. Mesenchymal shared,GANGLIOSIDE METABOLIC PROCESS,GOBP,3.06,0.018,3.26,0.0795,Other
B. Haematopoietic antagonistic,NEGATIVE REGULATION OF NERVOUS SYSTEM PROCESS,GOBP,-5.13,2.92e-05,5.06,0.00109,Other
B. Haematopoietic antagonistic,GOLGI TO ER RETROGRADE TRANSPORT,REACTOME,4.01,0.00144,-3.95,0.0157,Other
B. Haematopoietic antagonistic,COPI DEPENDENT GOLGI TO ER RETROGRADE TRAFFIC,REACTOME,4.17,0.000875,-3.61,0.0247,Other
B. Haematopoietic antagonistic,COPI MEDIATED ANTEROGRADE TRANSPORT,REACTOME,3.55,0.00547,-3.67,0.0227,Other
B. Haematopoietic antagonistic,POSITIVE REGULATION OF G1 S TRANSITION OF MITOTIC CELL CYCLE,GOBP,3.35,0.00912,-3.59,0.0267,Cell cycle & senescence
B. Haematopoietic antagonistic,COPI INDEPENDENT GOLGI TO ER RETROGRADE TRAFFIC,REACTOME,2.94,0.0232,-3.68,0.0219,Other
B. Haematopoietic antagonistic,RECYCLING PATHWAY OF L1,REACTOME,2.76,0.0335,-3.87,0.0159,Other
B. Haematopoietic antagonistic,PATHOGENIC ESCHERICHIA COLI INFECTION,KEGG,2.72,0.0373,-3.86,0.0159,Other
B. Haematopoietic antagonistic,ER TO GOLGI ANTEROGRADE TRANSPORT,REACTOME,2.67,0.0416,-3.9,0.0159,Other
B. Haematopoietic antagonistic,MEMBRANE PROTEIN ECTODOMAIN PROTEOLYSIS,GOBP,2.82,0.0294,-3.3,0.043,Other
