Pathway,Source,Z_OA_cartilage,FDR_OA,Z_OP_BMMSC,FDR_OP,Direction
REGULATION OF RNA SPLICING,GOBP,-4.86,8.05e-05,-2.94,0.108,Down in both
MRNA SPLICE SITE SELECTION,GOBP,-4.68,0.000148,-3.05,0.0942,Down in both
POSITIVE REGULATION OF RNA SPLICING,GOBP,-4.54,0.000245,-2.23,0.219,Down in both
REGULATION OF MRNA SPLICING VIA SPLICEOSOME,GOBP,-3.95,0.00171,-2.67,0.14,Down in both
NUCLEAR TRANSCRIBED MRNA CATABOLIC PROCESS EXONUCLEOLYTIC,GOBP,-3.85,0.00235,-2.38,0.188,Down in both
NUCLEAR TRANSCRIBED MRNA CATABOLIC PROCESS DEADENYLATION DEPENDENT DECAY,GOBP,-3.53,0.00578,-2.55,0.154,Down in both
REGULATION OF ALTERNATIVE MRNA SPLICING VIA SPLICEOSOME,GOBP,-3.52,0.00581,-2.8,0.125,Down in both
ALTERNATIVE MRNA SPLICING VIA SPLICEOSOME,GOBP,-3.4,0.00811,-2.95,0.107,Down in both
MRNA TRANSPORT,GOBP,-3.37,0.00873,-2.2,0.226,Down in both
POSITIVE REGULATION OF MRNA METABOLIC PROCESS,GOBP,-3.22,0.0123,-2.22,0.221,Down in both
