Pathway,Source,Z OA,FDR OA,Z BM-MSC,FDR BM-MSC,Direction
REGULATION OF RNA SPLICING,GOBP,-4.86,8.0e-05,-2.94,1.1e-01,Down in both
MRNA SPLICE SITE SELECTION,GOBP,-4.68,1.5e-04,-3.05,9.4e-02,Down in both
POSITIVE REGULATION OF RNA SPLICING,GOBP,-4.54,2.4e-04,-2.23,2.2e-01,Down in both
REGULATION OF MRNA SPLICING VIA SPLICEOSOME,GOBP,-3.95,1.7e-03,-2.67,1.4e-01,Down in both
NUCLEAR TRANSCRIBED MRNA CATABOLIC PROCESS EXONUCLEOLYTIC,GOBP,-3.85,2.4e-03,-2.38,1.9e-01,Down in both
NUCLEAR TRANSCRIBED MRNA CATABOLIC PROCESS DEADENYLATION DEPENDENT DECAY,GOBP,-3.53,5.8e-03,-2.55,1.5e-01,Down in both
REGULATION OF ALTERNATIVE MRNA SPLICING VIA SPLICEOSOME,GOBP,-3.52,5.8e-03,-2.8,1.2e-01,Down in both
ALTERNATIVE MRNA SPLICING VIA SPLICEOSOME,GOBP,-3.4,8.1e-03,-2.95,1.1e-01,Down in both
MRNA TRANSPORT,GOBP,-3.37,8.7e-03,-2.2,2.3e-01,Down in both
POSITIVE REGULATION OF MRNA METABOLIC PROCESS,GOBP,-3.22,1.2e-02,-2.22,2.2e-01,Down in both
