key,pmid,doi,title,authors,journal,year,volume,issue,pages,cited_by,loose_match,query
morris2019_ebmd,30598549,10.1038/s41588-018-0302-x,An atlas of genetic influences on osteoporosis in humans and mice,"Morris JA, Kemp JP, Youlten SE, Laurent L, Logan JG, Chai RC, Vulpescu NA, Forgetta V, Kleinman A, Mohanty ST, Sergio CM, Quinn J, Nguyen-Yamamoto L, Luco AL, Vijay J, Simon MM, Pramatarova A, Medina-Gomez C, Trajanoska K, Ghirardello EJ, Butterfield NC, Curry KF, Leitch VD, Sparkes PC, Adoum AT, Mannan NS, Komla-Ebri DSK, Pollard AS, Dewhurst HF, Hassall TAD, Beltejar MG, 23andMe Research Team, Adams DJ, Vaillancourt SM, Kaptoge S, Baldock P, Cooper C, Reeve J, Ntzani EE, Evangelou E, Ohlsson C, Karasik D, Rivadeneira F, Kiel DP, Tobias JH, Gregson CL, Harvey NC, Grundberg E, Goltzman D, Adams DJ, Lelliott CJ, Hinds DA, Ackert-Bicknell CL, Hsu YH, Maurano MT, Croucher PI, Williams GR, Bassett JHD, Evans DM, Richards JB.",Nature genetics,2019,51,2,258-266,671,,"TITLE:""An atlas of genetic influences on osteoporosis in humans and mice"" AND SRC:MED"
tachmazidou2019_oa,30664745,10.1038/s41588-018-0327-1,Identification of new therapeutic targets for osteoarthritis through genome-wide analyses of UK Biobank data,"Tachmazidou I, Hatzikotoulas K, Southam L, Esparza-Gordillo J, Haberland V, Zheng J, Johnson T, Koprulu M, Zengini E, Steinberg J, Wilkinson JM, Bhatnagar S, Hoffman JD, Buchan N, Süveges D, arcOGEN Consortium, Yerges-Armstrong L, Smith GD, Gaunt TR, Scott RA, McCarthy LC, Zeggini E.",Nature genetics,2019,51,2,230-236,416,,"TITLE:""Identification of new therapeutic targets for osteoarthritis through genome-wide analyses of UK Biobank data"" AND SRC:MED"
hartley_bmd_oa_mr,34897459,10.1093/ije/dyab251,"Using multivariable Mendelian randomization to estimate the causal effect of bone mineral density on osteoarthritis risk, independently of body mass index","Hartley A, Sanderson E, Granell R, Paternoster L, Zheng J, Smith GD, Southam L, Hatzikotoulas K, Boer CG, van Meurs J, Zeggini E, Genetics of Osteoarthritis Consortium, Gregson CL, Tobias JH.",International journal of epidemiology,2022,51,4,1254-1267,42,,"(TITLE:""osteoarthritis"" AND TITLE:""bone mineral density"" AND TITLE:""Mendelian randomization"") AND SRC:MED"
langfelder2008_wgcna,19114008,10.1186/1471-2105-9-559,WGCNA: an R package for weighted correlation network analysis,"Langfelder P, Horvath S.",BMC bioinformatics,2008,9,,559,20165,,"TITLE:""WGCNA: an R package for weighted correlation network analysis"" AND SRC:MED"
hanzelmann2013_gsva,23323831,10.1186/1471-2105-14-7,GSVA: gene set variation analysis for microarray and RNA-seq data,"Hänzelmann S, Castelo R, Guinney J.",BMC bioinformatics,2013,14,,7,12019,,"TITLE:""GSVA: gene set variation analysis for microarray and RNA-seq data"" AND SRC:MED"
ritchie2015_limma,25605792,10.1093/nar/gkv007,limma powers differential expression analyses for RNA-sequencing and microarray studies,"Ritchie ME, Phipson B, Wu D, Hu Y, Law CW, Shi W, Smyth GK.",Nucleic acids research,2015,43,7,e47,32420,,"TITLE:""limma powers differential expression analyses for RNA-sequencing and microarray studies"" AND SRC:MED"
hao2021_seurat,34062119,10.1016/j.cell.2021.04.048,Integrated analysis of multimodal single-cell data,"Hao Y, Hao S, Andersen-Nissen E, Mauck WM, Zheng S, Butler A, Lee MJ, Wilk AJ, Darby C, Zager M, Hoffman P, Stoeckius M, Papalexi E, Mimitou EP, Jain J, Srivastava A, Stuart T, Fleming LM, Yeung B, Rogers AJ, McElrath JM, Blish CA, Gottardo R, Smibert P, Satija R.",Cell,2021,184,13,3573-3587.e29,13909,,"TITLE:""Integrated analysis of multimodal single-cell data"" AND SRC:MED"
friedman2010_glmnet,20808728,,Regularization Paths for Generalized Linear Models via Coordinate Descent,"Friedman J, Hastie T, Tibshirani R.",Journal of statistical software,2010,33,1,1-22,8678,,"TITLE:""Regularization Paths for Generalized Linear Models via Coordinate Descent"" AND SRC:MED"
fisch2018_gse114007,30081074,10.1016/j.joca.2018.07.012,Identification of transcription factors responsible for dysregulated networks in human osteoarthritis cartilage by global gene expression analysis,"Fisch KM, Gamini R, Alvarez-Garcia O, Akagi R, Saito M, Muramatsu Y, Sasho T, Koziol JA, Su AI, Lotz MK.",Osteoarthritis and cartilage,2018,26,11,1531-1538,219,,"(TITLE:""Identification of transcription factors responsible for dysregulated networks in human osteoarthritis cartilage"") AND SRC:MED"
benisch2012_gse35958,23028809,10.1371/journal.pone.0045142,The transcriptional profile of mesenchymal stem cell populations in primary osteoporosis is distinct and shows overexpression of osteogenic inhibitors,"Benisch P, Schilling T, Klein-Hitpass L, Frey SP, Seefried L, Raaijmakers N, Krug M, Regensburger M, Zeck S, Schinke T, Amling M, Ebert R, Jakob F.",PloS one,2012,7,9,e45142,177,,"(TITLE:""The transcriptional profile of mesenchymal stem cell populations in primary osteoporosis"") AND SRC:MED"
son_ztkk_syndrome,34521999,10.1038/s41431-021-00960-4,Establishing the phenotypic spectrum of ZTTK syndrome by analysis of 52 individuals with variants in SON,"Dingemans AJM, Truijen KMG, Kim JH, Alaçam Z, Faivre L, Collins KM, Gerkes EH, van Haelst M, van de Laar IMBH, Lindstrom K, Nizon M, Pauling J, Heropolitańska-Pliszka E, Plomp AS, Racine C, Sachdev R, Sinnema M, Skranes J, Veenstra-Knol HE, Verberne EA, Vulto-van Silfhout AT, Wilsterman MEF, Ahn EE, de Vries BBA, Vissers LELM.",European journal of human genetics : EJHG,2022,30,3,271-281,30,,"(TITLE:""SON"" AND TITLE:""ZTTK"") AND SRC:MED"
son_splicing_function,21504830,10.1016/j.molcel.2011.03.014,SON controls cell-cycle progression by coordinated regulation of RNA splicing,"Ahn EY, DeKelver RC, Lo MC, Nguyen TA, Matsuura S, Boyapati A, Pandit S, Fu XD, Zhang DE.",Molecular cell,2011,42,2,185-198,144,,"(TITLE:""SON"" AND (TITLE:""splicing"" OR TITLE:""spliceosome"")) AND SRC:MED"
splicing_ageing_harries,21668623,10.1111/j.1474-9726.2011.00726.x,Human aging is characterized by focused changes in gene expression and deregulation of alternative splicing,"Harries LW, Hernandez D, Henley W, Wood AR, Holly AC, Bradley-Smith RM, Yaghootkar H, Dutta A, Murray A, Frayling TM, Guralnik JM, Bandinelli S, Singleton A, Ferrucci L, Melzer D.",Aging cell,2011,10,5,868-878,219,,"(TITLE:""alternative splicing"" AND (TITLE:""ageing"" OR TITLE:""aging"" OR TITLE:""senescence"")) AND SRC:MED"
splicing_factor_senescence,22777358,10.1038/onc.2012.288,"Downregulation of splicing factor SRSF3 induces p53β, an alternatively spliced isoform of p53 that promotes cellular senescence","Tang Y, Horikawa I, Ajiro M, Robles AI, Fujita K, Mondal AM, Stauffer JK, Zheng ZM, Harris CC.",Oncogene,2013,32,22,2792-2798,145,,"(TITLE:""splicing factor"" AND TITLE:""senescence"") AND SRC:MED"
op_oa_comorbidity,8154931,10.1136/ard.53.3.158,The relationship between osteoarthritis and osteoporosis in the general population: the Chingford Study,"Hart DJ, Mootoosamy I, Doyle DV, Spector TD.",Annals of the rheumatic diseases,1994,53,3,158-162,220,,"(TITLE:""osteoporosis"" AND TITLE:""osteoarthritis"" AND (TITLE:""inverse"" OR TITLE:""association"" OR TITLE:""relationship"")) AND SRC:MED"
subchondral_bone_oa,23685840,10.1038/nm.3143,Inhibition of TGF-β signaling in mesenchymal stem cells of subchondral bone attenuates osteoarthritis,"Zhen G, Wen C, Jia X, Li Y, Crane JL, Mears SC, Askin FB, Frassica FJ, Chang W, Yao J, Carrino JA, Cosgarea A, Artemov D, Chen Q, Zhao Z, Zhou X, Riley L, Sponseller P, Wan M, Lu WW, Cao X.",Nature medicine,2013,19,6,704-712,796,,"(TITLE:""subchondral bone"" AND TITLE:""osteoarthritis"") AND SRC:MED"
